"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00411880","2004","28.7156","-97.1742","36.0","COLETO CREEK RESERVOIR, TX US","   1686.7","","    1686.7","0","       128","0","        60","0","        14","0","","","         0","0","         0","0","        10","0","         0","0","       292","0","       103","0","","","","","   -4.4","0,1227,+","","","     0"," ,0,1231,+","  65.8"," ,0,0514, ","   36.7","0,0812,+","    1254.3","0","-1.1","0,1215","-2.8","0,1225","-4.4","0,1226","","","0.0","0,0216","","","","","","","","","      28.3","0,5,2","","","      35.6","0,5,2","       9.4","0,5,2","      10.6","0,5,2","      20.5","0,5,2","      22.5","0,5,2","   1044.4"," ,0","        0"," ,0","     21.44","0","     26.94","0","     15.95","0","     47535","0"
"USC00411880","2005","28.7156","-97.1742","36.0","COLETO CREEK RESERVOIR, TX US","   1743.9","","    1743.9","0","        92","0","        46","0","         5","0","        0","","         0","0","         0","0","         4","0","         0","0","       304","0","       125","0","","","","","   -1.7","0,1209,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  43.4"," ,0,0721, ","   40.0","0,0926, ","    1342.0","0","-0.6","0,1206","","","","","","","","","","","","","","","     561.5","5","      29.4","2,5,2","     561.5","0","      31.7","2,5,2","      11.7","2,5,2","      11.7","2,5,2","      21.1","2,5,2","      22.8","2,5,2","    607.4"," ,0","        0"," ,0","     21.38","0","     27.89","0","     14.88","0","     46361","0"
"USC00411880","2006","28.7156","-97.1742","36.0","COLETO CREEK RESERVOIR, TX US","   1748.7","","    1748.7","0","        87","0","        44","0","         8","0","        0","","         0","0","         0","0","         6","0","         0","0","       313","0","       132","0","","","","","   -2.2","0,1201, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  65.5"," ,0,0601, ","   37.2","0,0831,+","    1281.1","0","-2.2","0,1201","-2.2","0,1201","","","","","-1.7","0,0209","","","","","","","     606.4","4","      28.3","0,5,2","     606.4","0","      31.1","0,5,2","      11.7","0,5,2","      12.8","0,5,2","      21.4","0,5,2","      22.9","0,5,2","    612.0"," ,0","        0"," ,0","     21.51","0","     27.97","0","     15.06","0","     47857","0"
"USC00411880","2007","28.7156","-97.1742","36.0","COLETO CREEK RESERVOIR, TX US","   1616.7","","    1616.7","0","       145","0","        68","0","        12","0","        0","","         0","0","         0","0","        14","0","         0","0","       301","0","        71","0","","","","","   -2.8","0,0216, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 104.1"," ,0,0401, ","   36.1","0,0813, ","","","-1.1","0,1204","","","","","","","0.0","0,0305","-2.8","0,0216","","","","","     743.8","8","      28.9","0,5,2","     743.8","0","      30.6","0,5,2","      10.6","0,5,2","      11.1","0,5,2","      21.1","0,5,2","      22.1","0,5,2","   1041.7"," ,0","        0"," ,0","     20.71","0","     26.12","0","     15.31","0","",""
"USC00411880","2008","28.7156","-97.1742","36.0","COLETO CREEK RESERVOIR, TX US","   1725.5","","    1725.5","0","        76","0","        33","0","         3","0","        0","","         0","0","         0","0","        10","0","         0","0","       315","0","       125","0","","","","","   -2.2","0,0201,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  38.1"," ,0,0307, ","   39.4","0,0915,+","    1276.2","0","0.0","0,1202","","","","","","","-1.7","0,0202","-2.2","0,0201","","","","","     647.3","3","      30.0","0,5,2","     647.3","0","      31.7","0,5,2","      11.1","0,5,2","      12.2","0,5,2","      21.4","0,5,2","      22.3","0,5,2","    407.7"," ,0","        0"," ,0","     21.20","0","     27.91","0","     14.49","0","     48562","0"
"USC00411880","2009","28.7156","-97.1742","36.0","COLETO CREEK RESERVOIR, TX US","   1836.6","","    1836.6","0","        86","0","        45","0","         7","0","        0","","         0","0","         0","0","        16","0","         0","0","       301","0","       133","0","","","","","   -3.9","0,1207,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  58.7"," ,0,1121, ","   38.9","0,0813,+","    1289.2","0","-3.9","0,1205","-3.9","0,1205","","","","","-0.6","0,0302","-2.8","0,0113","","","","","     610.1","1","      32.2","0,5,2","     610.1","0","      36.1","0,5,2","       6.1","0,5,2","      11.7","0,5,2","      21.9","0,5,2","      23.7","0,5,2","    706.7"," ,0","        0"," ,0","     21.41","0","     27.72","0","     15.11","0","",""
"USC00411880","2010","28.7156","-97.1742","36.0","COLETO CREEK RESERVOIR, TX US","   1564.1","","    1564.1","0","        84","0","        49","0","        19","0","        0","","         0","0","         0","0","        25","0","         0","0","       279","0","        92","0","","","","","   -7.8","0,0109, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  94.7"," ,0,0516, ","   37.8","0,0826,+","    1175.3","0","-0.6","0,1127","","","","","","","0.0","0,0225","-2.2","0,0214","-6.7","0,0110","-6.7","0,0110","     978.6","6","      30.0","0,5,2","     978.6","0","      32.8","0,5,2","       2.2","0,5,2","       7.2","0,5,2","      20.7","0,5,2","      22.2","0,5,2","   1144.1"," ,0","        0"," ,0","     20.24","0","     26.03","0","     14.45","0","",""
"USC00411880","2011","28.7156","-97.1742","36.0","COLETO CREEK RESERVOIR, TX US","   1890.3","","    1890.3","7","        57","7","        22","7","         6","7","","","","","         0","7","        18","7","         1","7","       294","7","       131","7","        10"," ","         2"," ","   -6.1","7,0203,+","","","","","  64.0"," ,7,0623, ","   42.8","7,0829, ","    1345.4","7","0.0","7,1112","-2.2","7,1128","","","","","-1.1","K,0214","-2.2","K,0212","-5.0","K,0211","","","     724.6","6","","","     724.6","7","","","","","","","","","","","    379.3"," ,7","","","     21.50","7","     27.80","7","     15.19","7","",""
"USC00411880","2012","28.7156","-97.1742","36.0","COLETO CREEK RESERVOIR, TX US","   1793.8","","    1793.8","7","        80","7","        41","7","         7","7","","","","","         0","7","         7","7","         0","7","       307","7","       109","7","         6"," ","         1"," ","   -2.2","7,0114,+","","","",""," 106.7"," ,7,0712, ","   40.0","7,0627, ","    1263.5","7","0.0","7,1211","","","","","","","-1.7","7,0115","-2.2","7,0114","","","","","     536.3","3","      29.4","5,5,2","     536.3","7","      30.6","5,5,2","      11.1","5,5,2","      12.2","5,5,2","      22.7","5,5,2","      23.3","5,5,2","    727.4"," ,7","","","     21.82","7","     27.66","7","     15.98","7","",""
"USC00411880","2013","28.7156","-97.1742","36.0","COLETO CREEK RESERVOIR, TX US","   1592.7","","    1592.7","7","        84","7","        42","7","         7","7","","","","","         0","7","        11","7","         0","7","       284","7","        94","7","         6"," ","         1"," ","   -1.7","7,1217,+","","","",""," 116.3"," ,7,0526, ","   41.1","7,0630, ","    1236.1","7","-0.6","7,1128","","","","","","","","","","","","","","","     647.6","6","","","     647.6","7","","","","","","","","","","","    779.9"," ,7","","","     20.43","7","     26.11","7","     14.75","7","",""
