"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"TUW00033207","1963","38.5","27.01667","8.2","IZMIR, TU","","","","","","","","","","","","","","","","","","","","","","","","","        20"," ","        14"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TUW00033207","1964","38.5","27.01667","8.2","IZMIR, TU","    793.2","","     793.2","X","        62","X","        36","X","         5","X","        0","","         0","X","         0","X","        34","X","         1","X","       203","X","        50","X","        58"," ","        23"," ","   -9.4","X,0118, ","     0"," ,X,1231,+","     0","T,X,0205, ","  37.6"," ,X,0309, ","   38.3","X,0716, ","0.0","X,1124","","","","","0.0","X,0312","-2.8","X,0212","-5.6","X,0125","-8.9","X,0120","-8.9","X,0120","    1555.3","3","    1555.3","X","    477.0"," ,X","        0","T,X","     16.12","X","     21.79","X","     10.46","X","","","",""
"TUW00033207","1965","38.5","27.01667","8.2","IZMIR, TU","    840.9","","     840.9","X","        79","X","        54","X","         9","X","        0","","         0","X","         0","X","        18","X","         0","X","       185","X","        50","X","        68"," ","        37"," ","   -3.9","X,0209,+","     0"," ,X,1231,+","     5"," ,X,0208, ","  44.5"," ,X,0220, ","   39.4","X,0719, ","0.0","X,1217","","","","","0.0","X,0301","-3.9","X,0209","","","","","","","    1520.5","5","    1520.5","X","    817.5"," ,X","        5"," ,X","     16.66","X","     22.06","X","     11.27","X","        30","X","      23.6","X"
"TUW00033207","1966","38.5","27.01667","8.2","IZMIR, TU","    893.3","","     893.3","X","        74","X","        44","X","         6","X","        0","","         1","X","         0","X","         9","X","         0","X","       217","X","        57","X","        31"," ","        42"," ","   -2.2","X,0111,+","     0"," ,X,1231,+","    38"," ,X,0108, ","  78.0"," ,X,1223, ","   37.8","X,0708, ","-1.1","X,1219","","","","","-0.6","X,0322","-2.2","X,0111","","","","","","","    1165.5","5","    1165.5","X","    695.6"," ,X","       38"," ,X","     17.68","X","     22.84","X","     12.53","X","       290","X","      26.2","X"
"TUW00033207","1967","38.5","27.01667","8.2","IZMIR, TU","    910.3","","     910.3","X","        59","X","        37","X","         4","X","        0","","         0","X","         0","X","        27","X","         1","X","       202","X","        53","X","        25"," ","        28"," ","   -5.6","X,1223, ","     0"," ,X,1231,+","     0","T,X,1221, ","  29.5"," ,X,1229, ","   38.9","X,0811,+","0.0","X,1123","-2.2","X,1126","-5.6","X,1223","-1.1","X,0327","-2.2","X,0202","-4.4","X,0119","","","","","    1376.1","1","    1376.1","X","    341.9"," ,X","        0","T,X","     16.57","X","     21.92","X","     11.22","X","       200","X","      19.0","X"
