"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00094051","1999","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       3.8","W","    185.1","","     185.1","W","        96","W","        29","W","         1","W","","","        11","W","       202","W","        23","W","       118","W","        25","W","  -32.2","W,0103, ","","","  27.2"," ,W,0811, ","   40.0","W,0728, ","0.0","W,0909","-2.8","W,0915","-10.0","W,1002","-10.0","W,1002","-10.0","W,1002","-2.8","W,0517","-2.8","W,0517","-5.0","W,0507","-8.3","W,0417","-11.1","W,0404","","","","","    267.8"," ,W","      7.50","W","     15.39","W","     -0.39","W","       290","W","       290","W","      23.7","W","      30.8","W"
"USW00094051","2000","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       3.9","W","    274.9","","     274.9","W","        94","W","        35","W","         1","W","","","        46","W","       201","W","        62","W","       132","W","        32","W","  -31.7","W,1210,+","","","  37.6"," ,W,0708, ","   40.0","W,0810, ","0.0","W,0921","-2.2","W,0923","-5.6","W,1004","-8.9","W,1005","-8.9","W,1005","0.0","W,0602","-3.9","W,0514","-5.6","W,0508","-7.8","W,0414","-10.0","W,0403","    4224.7","7","    4224.7","W","    300.6"," ,W","      5.94","W","     13.98","W","     -2.10","W","       290","W","       280","W","      25.9","W","      28.6","W"
"USW00094051","2001","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       3.7","W","    282.2","","     282.2","W","        65","W","        22","W","         2","W","","","        26","W","       196","W","        48","W","       128","W","        31","W","  -30.6","W,0226, ","","","  40.1"," ,W,0726, ","   37.8","W,0705, ","-1.1","W,1003","-5.0","W,1004","-5.0","W,1004","-8.9","W,1005","-8.9","W,1005","0.0","W,0523","-3.9","W,0521","-5.6","W,0503","-12.8","W,0416","-12.8","W,0416","    4741.7","7","    4741.7","W","    294.4"," ,W","      7.25","W","     15.31","W","     -0.82","W","       300","W","       300","W","      20.1","W","      24.1","W"
"USW00094051","2002","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       4.0","W","    242.2","","     242.2","W","        87","W","        29","W","         1","W","","","        31","W","       215","W","        51","W","       112","W","        26","W","  -35.0","W,0308, ","","","  26.4"," ,W,0808, ","   42.8","W,0714, ","-2.8","W,0925","-2.8","W,0925","-8.3","W,1002","-8.3","W,1002","-16.1","W,1022","-0.6","W,0524","-4.4","W,0517","-4.4","W,0517","-6.7","W,0501","-9.4","W,0425","    4581.8","8","    4581.8","W","    294.0"," ,W","      5.81","W","     13.87","W","     -2.25","W","       250","W","       250","W","      25.9","W","      34.0","W"
"USW00094051","2003","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       3.8","W","    373.5","","     373.5","W","        95","W","        30","W","         1","W","","","        42","W","       187","W","        61","W","       132","W","        42","W","  -37.2","W,0122, ","","","  29.0"," ,W,0708, ","   40.0","W,0723,+","-0.6","W,0914","-3.3","W,0918","-6.1","W,0930","-12.8","W,1031","-12.8","W,1031","-1.1","W,0520","-2.2","W,0511","-6.7","W,0407","-6.7","W,0407","-9.4","W,0329","    4565.3","3","    4565.3","W","    316.0"," ,W","      6.63","W","     14.52","W","     -1.26","W","       310","W","       310","W","      19.7","W","      25.0","W"
"USW00094051","2004","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       3.9","W","    143.9","","     143.9","W","        62","W","        18","W","         0","W","","","        27","W","       188","W","        44","W","       120","W","        15","W","  -37.8","W,0105,+","","","  16.8"," ,W,0611, ","   38.9","W,0718, ","-0.6","W,0920","-3.3","W,0921","-10.6","W,1001","-10.6","W,1001","-10.6","W,1001","-1.7","W,0618","-2.2","W,0525","-6.7","W,0513","-6.7","W,0513","-9.4","W,0311","    4623.4","4","    4623.4","W","    162.3"," ,W","      5.83","W","     13.58","W","     -1.93","W","       310","W","       310","W","      23.2","W","      28.2","W"
"USW00094051","2005","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       3.9","B","","","","","        84","B","        36","B","         3","B","","","","","","","","","","","","","","","","","  37.8"," ,B,0608, ","","","","","","","","","","","","","","","","","","","","","","","    4297.9","9","    4297.9"," ","    398.0"," ,B","","","","","","","       280","B","       270","B","      24.1","B","      27.3","B"
"USW00094051","2006","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       3.8","W","    340.3","","     340.3","W","        80","W","        29","W","         1","W","","","        12","W","       192","W","        30","W","       136","W","        43","W","  -28.2","W,1202,+","","","  27.9"," ,W,0608, ","   39.4","W,0723,+","0.0","W,1005","-2.7","W,1010","-6.6","W,1011","-7.7","W,1012","-15.5","W,1030","-1.6","W,0511","-5.5","W,0505","-5.5","W,0505","-7.7","W,0323","-11.0","W,0316","","","","","    269.0"," ,W","      8.09","W","     15.94","W","      0.25","W","       270","W","       260","W","      24.6","W","      35.3","W"
"USW00094051","2007","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       3.8","W","    392.4","","     392.4","W","        95","W","        35","W","         1","W","","","        27","W","       178","W","        51","W","       136","W","        42","W","  -31.0","W,0214, ","","","  26.4"," ,W,0617, ","   42.2","W,0724, ","0.0","W,0913","-3.8","W,0914","-10.5","W,1027","-10.5","W,1027","-10.5","W,1027","0.0","W,0424","-2.7","W,0416","-6.6","W,0413","-8.2","W,0408","-9.3","W,0407","    4276.9","9","    4276.9","W","    402.8"," ,W","      7.72","W","     15.45","W","     -0.01","W","       350","W","       340","W","      24.1","W","      30.9","W"
"USW00094051","2008","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       3.6","W","    209.3","","     209.3","W","        95","W","        36","W","         0","W","","","        38","W","       207","W","        50","W","       123","W","        28","W","  -35.5","W,1215, ","","","  17.3"," ,W,0602, ","   39.4","W,0825, ","-2.1","W,0908","-2.7","W,1007","-7.1","W,1009","-7.1","W,1009","-9.3","W,1027","-3.2","W,0503","-3.2","W,0503","-7.1","W,0427","-7.1","W,0427","-13.2","W,0421","    4613.1","1","    4613.1","W","    313.7"," ,W","      5.69","W","     13.71","W","     -2.33","W","       290","W","       280","W","      21.5","W","      29.5","W"
