"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094015","1969","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","","","","","","","","","         1"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094015","1970","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","        70","X","        35","X","         3","X","       15","","","","","","","","","","","","","","   203"," ,X,0331, ","","","  38.1"," ,X,0821, ","","","","","","","","","","","","","","","","","","","","","    349.7"," ,X","","","",""
"USW00094015","1981","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","","","","","","","","","","","        17"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094015","1982","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","        67","0","        35","0","         5","0","","","","","","","","","        23"," ","        30"," ","","","","","","","  54.4"," ,0,0729, ","","","","","","","","","","","","","","","","","","","","","    469.2"," ,0","","","",""
"USW00094015","1983","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","","","        14","0","         9","0","       146","0","        28"," ","        31"," ","  -27.8","0,1222, ","","","    66"," ,0,1227, ","","","-2.8","0,1013","-2.8","0,1013","-4.4","0,1025","-6.7","0,1118","-10.6","0,1123","0.0","0,0523","-5.6","0,0515","-5.6","0,0515","-8.3","0,0415","-12.8","0,0321","    371.9"," ,0","      567"," ,0","      2.47","0"
"USW00094015","1984","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","       32","","        14","0","","","","","        30"," ","        55"," ","","","   279"," ,0,1017, ","   462"," ,0,1017, ","","","","","","","","","","","","","","","","","","","","","","","","","     1556"," ,0","",""
"USW00094015","1985","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","","","        10","0","","","","","        27"," ","        20"," ","","","","","   102"," ,0,0312, ","","","","","","","","","","","","","","","","","","","","","","","    446.1"," ,0","      667"," ,0","",""
"USW00094015","1986","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","","","         4","0","","","","","        17"," ","        22"," ","","","","","   102"," ,0,1101, ","","","","","","","","","","","","","","","","","","","","","","","","","      284"," ,0","",""
"USW00094015","1987","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","","","","","","","","","        15"," ","        40"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    409.4"," ,0","","","",""
"USW00094015","1988","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","","","","","","","","","         8"," ","        41"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094015","1989","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","","","","","","","","","        16"," ","        25"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094015","1990","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","","","","","","","","","        24"," ","        34"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    469.8"," ,0","","","",""
