"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00309021","1970","42.4","-76.9","244.1","WATKINS GLEN 2 NW, NY US","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00309021","1972","42.4","-76.9","244.1","WATKINS GLEN 2 NW, NY US","    245.3","","     245.3","0","         7","0","       146","0","        50","0","       112","0","         3","0","","","  -21.7","0,0223, ","   32.2","0,0723,+","0.0","0,1010","-4.4","0,1018","-4.4","0,1018","-7.2","0,1117","-11.7","0,1217","-0.6","0,0611","-3.3","0,0428","-4.4","0,0426","-7.8","0,0409","-9.4","0,0408","    3792.9","9","    3792.9","0","      7.53","0","     12.41","0","      2.65","0"
"USC00309021","1973","42.4","-76.9","244.1","WATKINS GLEN 2 NW, NY US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3547.1","1","    3547.1","0","","","","","",""
