"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES"
"RMW00040706","1945","7.09222","171.3825","3.0","MAJURO NF, MH RM","        12"," ","         7"," "
"RMW00040706","1946","7.09222","171.3825","3.0","MAJURO NF, MH RM","         7"," ","         1"," "
