"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES"
"CHW00043205","1946","36.18333","120.38333","14.0","TSINGTAO, CH","        78"," ","         3"," ","","","",""
"CHW00043205","1947","36.18333","120.38333","14.0","TSINGTAO, CH","       124"," ","         5"," ","","","",""
"CHW00043205","1948","36.18333","120.38333","14.0","TSINGTAO, CH","       139"," ","        26"," ","    2609.1","1","    2609.1","X"
