"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00345769","2010","36.7924","-97.7458","331.9","MEDFORD 1 SW MESONET, OK US","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","    2548.8","8","      30.0","0,3,2","    2548.8"," ","      36.7","0,3,2","      -4.4","0,3,2","      -0.6","0,3,2","      13.9","0,3,2","      19.1","0,3,2","    728.0"," ,0","        0"," ,0","","","","","",""
"USC00345769","2011","36.7924","-97.7458","331.9","MEDFORD 1 SW MESONET, OK US","   1388.4","","    1388.4","K","","","","","         5","K","       100","K","        13","K","       207","K","       106","K","  -32.8","K,0210, ","","","","","   44.4","K,0709, ","-0.6","K,1020","-5.6","K,1104","-5.6","K,1104","-11.1","K,1206","-11.1","K,1206","-0.6","K,0405","-3.3","K,0315","-6.1","K,0306","-7.2","K,0222","-8.9","K,0212","","","","","","","","","","","","","","","","","","","","","     15.44","K","     22.63","K","      8.25","K"
"USC00345769","2012","36.7924","-97.7458","331.9","MEDFORD 1 SW MESONET, OK US","   1272.5","","    1272.5","7","","","","","         0","7","        95","7","         4","7","       219","7","       103","7","  -13.3","7,1229,+","","","","","   43.9","7,0801, ","-2.8","7,1007","-2.8","7,1007","-4.4","7,1026","-6.7","7,1027","-11.7","7,1210","-0.6","K,0309","-2.2","K,0304","-4.4","K,0225","-8.3","K,0212","-9.4","K,0211","    1962.6","6","","","    1962.6","7","","","","","","","","","","","","","","","     16.52","7","     23.75","7","      9.28","7"
"USC00345769","2013","36.7924","-97.7458","331.9","MEDFORD 1 SW MESONET, OK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    2421.3","3","      28.3","7,3,2","    2421.3"," ","      37.2","7,3,2","      -1.1","7,3,2","       0.0","7,3,2","      12.1","7,3,2","      18.1","7,3,2","","","","","","","","","",""
"USC00345769","2014","36.7924","-97.7458","331.9","MEDFORD 1 SW MESONET, OK US","   1038.7","","    1038.7","7","","","","","         2","7","       115","7","        19","7","       204","7","        78","7","  -20.6","7,0303,+","","","","","   40.0","7,0726, ","-0.6","7,1031","-2.2","7,1101","-4.4","7,1111","-6.7","7,1112","-11.1","7,1116","-0.6","7,0502","-2.2","7,0418","-5.6","7,0415","-7.2","7,0317","-16.7","7,0304","","","","","","","","","","","","","","","","","","","","","     14.12","7","     21.05","7","      7.19","7"
"USC00345769","2015","36.7924","-97.7458","331.9","MEDFORD 1 SW MESONET, OK US","   1073.0","","    1073.0","7","","","","","         0","7","        98","7","        16","7","       212","7","        76","7","  -14.4","7,0108,+","","","","","   39.4","7,0907,+","-1.7","7,1108","-2.8","7,1113","-4.4","7,1122","-8.3","7,1218","","","-0.6","7,0410","-5.0","7,0404","-5.0","7,0404","-11.1","7,0305","-11.1","7,0305","    2345.6","6","      28.9","7,3,2","    2345.6","7","      37.2","7,3,2","      -2.8","7,3,2","      -0.6","7,3,2","      14.0","7,3,2","      20.0","7,3,2","","","","","     15.27","7","     21.89","7","      8.66","7"
"USC00345769","2016","36.7924","-97.7458","331.9","MEDFORD 1 SW MESONET, OK US","   1159.9","","    1159.9","7","","","","","         2","7","        97","7","        10","7","       221","7","        84","7","  -21.1","7,1218, ","","","","","   40.6","7,0724, ","0.0","7,1112","-6.7","7,1119","-6.7","7,1119","-6.7","7,1119","-11.7","7,1208","0.0","7,0408","-3.9","7,0402","-5.0","7,0325","-6.7","7,0320","-8.9","7,0226","    1973.6","6","      29.4","7,3,2","    1973.6","7","      37.2","7,3,2","      -3.3","7,3,2","       0.0","7,3,2","      14.4","7,3,2","      20.4","7,3,2","    691.1"," ,7","","","     15.96","7","     22.88","7","      9.03","7"
"USC00345769","2017","36.7924","-97.7458","331.9","MEDFORD 1 SW MESONET, OK US","   1015.7","","    1015.7","7","","","","","         0","7","        87","7","         9","7","       217","7","        66","7","  -15.6","7,0107, ","","","","","   40.6","7,0722,+","-2.2","7,1027","-2.2","7,1027","-5.0","7,1028","-6.7","7,1122","-8.9","7,1208","-2.2","7,0315","-2.2","7,0315","-5.0","7,0312","-7.2","7,0225","-9.4","7,0112","    1915.1","1","      30.0","7,3,2","    1915.1","7","      37.8","7,3,2","      -1.7","7,3,2","       0.0","7,3,2","      14.0","7,3,2","      20.1","7,3,2","    830.4"," ,7","","","     15.65","7","     22.34","7","      8.96","7"
"USC00345769","2018","36.7924","-97.7458","331.9","MEDFORD 1 SW MESONET, OK US","   1163.2","","    1163.2","7","","","","","         1","7","       122","7","        13","7","       193","7","        92","7","  -17.8","7,0101, ","","","","","   39.4","7,0719, ","0.0","7,1015","-5.0","7,1109","-5.0","7,1109","-7.2","7,1110","-11.1","7,1113","-2.2","7,0419","-2.2","7,0419","-5.6","7,0416","-6.7","7,0312","-11.7","7,0212","    2300.7","7","      28.3","7,3,2","    2300.7","7","      36.7","7,3,2","      -2.8","7,3,2","      -0.6","7,3,2","      13.1","7,3,2","      19.0","7,3,2","","","","","     14.71","7","     21.47","7","      7.96","7"
"USC00345769","2019","36.7924","-97.7458","331.9","MEDFORD 1 SW MESONET, OK US","   1102.6","","    1102.6","7","","","","","         0","7","       106","7","        13","7","       187","7","        76","7","  -13.3","7,0208, ","","","","","   40.0","7,0820,+","-2.8","7,1028","-2.8","7,1028","-4.4","7,1029","-7.8","7,1031","-9.4","7,1111","-0.6","7,0414","-4.4","7,0331","-4.4","7,0331","-8.9","7,0306","-8.9","7,0306","    2480.8","8","      28.9","7,3,2","    2480.8","7","      37.2","7,3,2","      -2.2","7,3,2","       0.0","7,3,2","      12.9","7,3,2","      18.8","7,3,2","","","","","     14.56","7","     20.86","7","      8.27","7"
