"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00044558","1944","36.23333","-121.11667","110.0","KING CITY AIRPORT, CA US","    125.6","","     125.6","0","        56","0","        28","0","         2","0","         0","0","        23","0","         0","0","       216","0","        20","0","","","   -3.3","0,0315, ","  28.7"," ,0,0203, ","   41.7","0,0908, ","-0.6","0,1125","","","","","","","-0.6","0,0327","-3.3","0,0315","","","","","","","    275.0"," ,0","     14.40","0","     22.09","0","      6.71","0"
"USC00044558","1945","36.23333","-121.11667","110.0","KING CITY AIRPORT, CA US","    216.2","","     216.2","0","        45","0","        25","0","         2","0","         0","0","        33","0","         0","0","       209","0","        27","0","","","   -6.1","0,0120, ","  51.6"," ,0,0201, ","   38.9","0,0618,+","-0.6","0,1130","-2.2","0,1213","","","","","0.0","0,0404","-2.2","0,0228","-5.6","0,0123","    1565.0","0","    1565.0","0","    233.5"," ,0","     14.66","0","     22.55","0","      6.76","0"
"USC00044558","1946","36.23333","-121.11667","110.0","KING CITY AIRPORT, CA US","    167.8","","     167.8","0","        34","0","        19","0","         0","0","         0","0","        46","0","         0","0","       209","0","        23","0","","","   -5.6","0,0131, ","  16.8"," ,0,1119, ","   39.4","0,0928,+","-0.6","0,1028","-2.2","0,1030","","","","","0.0","0,0226","-2.2","0,0213","-5.6","0,0131","    1505.0","0","    1505.0","0","    159.3"," ,0","     14.27","0","     22.20","0","      6.33","0"
"USC00044558","1947","36.23333","-121.11667","110.0","KING CITY AIRPORT, CA US","    262.7","","     262.7","0","        20","0","        11","0","         0","0","         0","0","        42","0","         0","0","       242","0","        34","0","","","   -6.7","0,1213, ","  14.7"," ,0,0212, ","   42.2","0,0901, ","0.0","0,1108","-3.3","0,1113","-5.6","0,1122","-6.7","0,1213","0.0","0,0306","-4.4","0,0118","-4.4","0,0118","    1430.0","0","    1430.0","0","     78.2"," ,0","     15.27","0","     24.02","0","      6.51","0"
"USC00044558","1948","36.23333","-121.11667","110.0","KING CITY AIRPORT, CA US","    144.7","","     144.7","0","        36","0","        14","0","         0","0","         0","0","        67","0","         0","0","       216","0","        18","0","","","   -5.6","0,0212, ","  24.1"," ,0,1226, ","   39.4","0,0913, ","0.0","0,1030","-2.8","0,1108","-4.4","0,1130","","","-0.6","0,0429","-2.8","0,0304","-4.4","0,0213","    1562.3","3","    1562.3","0","    166.8"," ,0","     14.14","0","     22.41","0","      5.86","0"
"USC00044558","1949","36.23333","-121.11667","110.0","KING CITY AIRPORT, CA US","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","    1807.7","7","    1807.7","0","","","","","","","",""
