"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES"
"USW00012985","2011","29.21139","-99.74361","287.1","GARNER FIELD AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00012985","2012","29.21139","-99.74361","287.1","GARNER FIELD AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","        10"," ","         1"," ","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00012985","2013","29.21139","-99.74361","287.1","GARNER FIELD AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00012985","2014","29.21139","-99.74361","287.1","GARNER FIELD AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","        25"," ","         4"," ","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00012985","2015","29.21139","-99.74361","287.1","GARNER FIELD AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","       131"," ","        15"," ","        39"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00012985","2016","29.21139","-99.74361","287.1","GARNER FIELD AIRPORT, TX US","       2.4","W","   1658.6","","    1658.6","W","        71","W","        37","W","        10","W","         0","W","        13","W","         0","W","       298","W","       108","W","       136"," ","        21"," ","        44"," ","   -4.3","W,1219, ","  56.6"," ,W,0529, ","   39.4","W,0812, ","-2.1","W,1218","-4.3","W,1219","","","","","","","0.0","W,0209","-3.8","W,0204","","","","","","","","","    702.3"," ,W","     21.00","W","     27.29","W","     14.71","W","","","",""
"USW00012985","2017","29.21139","-99.74361","287.1","GARNER FIELD AIRPORT, TX US","       2.4","W","   1699.3","","    1699.3","W","        57","W","        31","W","         3","W","         0","W","        10","W","         0","W","       308","W","       118","W","       106"," ","        14"," ","        31"," ","   -7.1","W,0107, "," 165.6"," ,W,0927, ","   40.0","W,0730, ","0.0","W,1028","","","","","","","","","0.0","W,0129","-6.6","W,0108","-6.6","W,0108","-7.1","W,0107","     492.0","0","     492.0","W","    563.0"," ,W","     21.33","W","     28.04","W","     14.62","W","       310","W","      13.4","W"
"USW00012985","2018","29.21139","-99.74361","287.1","GARNER FIELD AIRPORT, TX US","       3.2","W","   1770.0","","    1770.0","W","        76","W","        36","W","         9","W","         0","W","        24","W","         1","W","       276","W","       116","W","        98"," ","         7"," ","        36"," ","   -6.6","W,0103, ","  85.3"," ,W,0904, ","   42.2","W,0723, ","-3.2","W,1113","-3.2","W,1113","","","","","","","-2.1","W,0212","-3.2","W,0114","-6.6","W,0103","","","     784.4","4","     784.4","W","    659.4"," ,W","     20.77","W","     27.05","W","     14.50","W","       320","W","      18.3","W"
"USW00012985","2019","29.21139","-99.74361","287.1","GARNER FIELD AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","       102"," ","        11"," ","        32"," ","","","","","","","","","","","","","","","","","","","","","","","","","     916.3","3","     916.3"," ","","","","","","","","","","","",""
"USW00012985","2020","29.21139","-99.74361","287.1","GARNER FIELD AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","        86"," ","         8"," ","        19"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00012985","2021","29.21139","-99.74361","287.1","GARNER FIELD AIRPORT, TX US","","","","","","","        41","W","        14","W","         4","W","","","","","","","","","","","       108"," ","        14"," ","        23"," ","","","  61.2"," ,W,0515, ","","","","","","","","","","","","","","","","","","","","","","","","","    258.1"," ,W","","","","","","","","","",""
"USW00012985","2022","29.21139","-99.74361","287.1","GARNER FIELD AIRPORT, TX US","       3.0","W","   1945.1","","    1945.1","W","        30","W","        15","W","         4","W","         0","W","        31","W","         0","W","       285","W","       145","W","        75"," ","         5"," ","        15"," ","   -9.3","W,1224, ","  44.7"," ,W,0825, ","   41.7","W,0711, ","0.0","W,1215","-5.5","W,1222","-5.5","W,1222","-7.7","W,1223","-9.3","W,1224","-2.1","W,0313","-4.3","W,0312","-7.1","W,0205","-7.1","W,0205","","","","","    257.8"," ,W","     21.14","W","     28.11","W","     14.17","W","       290","W","      15.7","W"
"USW00012985","2023","29.21139","-99.74361","287.1","GARNER FIELD AIRPORT, TX US","       2.6","W","   1894.5","","    1894.5","W","        33","W","        14","W","         1","W","         0","W","        15","W","         0","W","       286","W","       130","W","        54"," ","         1"," ","        16"," ","   -1.6","W,1230,+","  40.6"," ,W,0702, ","   41.1","W,0817,+","0.0","W,1210","","","","","","","","","0.0","W,0218","","","","","","","     688.8","8","     688.8","W","    162.4"," ,W","     21.92","W","     28.56","W","     15.28","W","       310","W","      20.6","W"
"USW00012985","2024","29.21139","-99.74361","287.1","GARNER FIELD AIRPORT, TX US","","","   2084.5","","    2084.5","D","","","","","","","         0","D","        11","D","         0","D","       304","D","       149","D","        44"," ","         1"," ","         8"," ","   -8.8","D,0117, ","","","   41.7","D,0822,+","-3.3","D,1211","-3.3","D,1211","","","","","","","-4.3","W,0120","-4.3","W,0120","-8.8","W,0117","-8.8","W,0117","     695.0","0","     695.0","D","","","     22.49","D","     28.95","D","     16.03","D","","","",""
"USW00012985","2025","29.21139","-99.74361","287.1","GARNER FIELD AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","        24"," ","         5"," ","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
