"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKW00035036","1949","52.85","0.76667","68.3","SCULTHORPE ENGLAND, ENG UK","","","","","","","","","","","","","","","","","","","","","","","","","        57"," ","         5"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKW00035036","1950","52.85","0.76667","68.3","SCULTHORPE ENGLAND, ENG UK","","","","","","","","","","","","","","","","","","","","","","","","","       129"," ","        17"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKW00035036","1951","52.85","0.76667","68.3","SCULTHORPE ENGLAND, ENG UK","      6.4","","       6.4","X","       156","X","        79","X","         1","X","        2","","         0","X","         0","X","        49","X","         0","X","        35","X","         0","X","       191"," ","         7"," ","   -5.6","X,0130, ","    51"," ,X,0101, ","    23"," ,X,0413, ","  25.9"," ,X,0806, ","   26.1","X,0803, ","0.0","X,1126","-2.2","X,1211","-5.0","X,1213","","","0.0","X,0430","-2.2","X,0331","-5.6","X,0130","","","","","    3626.6","6","    3626.6","X","    633.8"," ,X","       23"," ,X","      8.87","X","     12.27","X","      5.48","X"
"UKW00035036","1952","52.85","0.76667","68.3","SCULTHORPE ENGLAND, ENG UK","     42.1","","      42.1","X","       163","X","        84","X","         1","X","        5","","         4","X","         0","X","        55","X","         2","X","        46","X","         0","X","       130"," ","         8"," ","   -8.9","X,0128, ","    51"," ,X,0330,+","    46"," ,X,1215, ","  25.4"," ,X,0706, ","   30.0","X,0701, ","-1.7","X,1115","-3.3","X,1124","-4.4","X,1215","","","0.0","X,0403","-2.8","X,0315","-4.4","X,0213","-8.9","X,0128","-8.9","X,0128","    3170.8","8","    3170.8","X","    605.0"," ,X","      248"," ,X","      9.16","X","     12.55","X","      5.78","X"
"UKW00035036","1953","52.85","0.76667","68.3","SCULTHORPE ENGLAND, ENG UK","     14.8","","      14.8","X","       136","X","        67","X","         1","X","        2","","         4","X","         0","X","        35","X","         0","X","        31","X","         1","X","       164"," ","        15"," ","   -3.3","X,0216,+","    25"," ,X,0107,+","    51"," ,X,0106, ","  34.0"," ,X,0611, ","   32.2","X,0812, ","0.0","X,1221","","","","","","","0.0","X,0323","-2.2","X,0317","","","","","","","    3497.4","4","    3497.4","X","    487.1"," ,X","      206"," ,X","      9.71","X","     12.96","X","      6.47","X"
"UKW00035036","1954","52.85","0.76667","68.3","SCULTHORPE ENGLAND, ENG UK","      5.8","","       5.8","X","       169","X","        76","X","         1","X","       16","","         7","X","         0","X","        41","X","        11","X","        21","X","         0","X","       140"," ","        12"," ","   -7.8","X,0209,+","   102"," ,X,0301,+","   102"," ,X,0303, ","  25.4"," ,X,0823, ","   27.8","X,0901, ","-1.1","X,1118","-2.8","X,1211","","","","","-1.1","X,0411","-2.2","X,0303","-6.7","X,0302","-6.7","X,0302","","","    3251.5","5","    3251.5","X","    673.2"," ,X","      349"," ,X","      8.98","X","     12.16","X","      5.80","X"
"UKW00035036","1955","52.85","0.76667","68.3","SCULTHORPE ENGLAND, ENG UK","     27.8","","      27.8","X","       127","X","        44","X","         0","X","       29","","         7","X","         0","X","        65","X","         7","X","        39","X","         0","X","       156"," ","        10"," ","   -8.9","X,0221, ","   229"," ,X,0220, ","   188"," ,X,0219, ","  19.8"," ,X,1005, ","   28.9","X,0822, ","-1.1","X,1101","-2.2","X,1212","-4.4","X,1222","","","-2.8","X,0331","-2.8","X,0331","-4.4","X,0322","-7.8","X,0302","-8.9","X,0221","    3520.4","4","    3520.4","X","    426.1"," ,X","      653"," ,X","      8.96","X","     12.23","X","      5.68","X"
"UKW00035036","1956","52.85","0.76667","68.3","SCULTHORPE ENGLAND, ENG UK","      4.5","","       4.5","X","       158","X","        81","X","         0","X","       23","","        11","X","         0","X","        62","X","        14","X","        16","X","         0","X","       131"," ","        10"," ","  -14.4","X,0203, ","   152"," ,X,0225,+","   124"," ,X,0215, ","  24.1"," ,X,0709, ","   25.6","X,0708, ","-1.1","X,1121","-2.2","X,1220","","","","","-0.6","X,0421","-2.2","X,0314","-5.6","X,0225","-6.7","X,0224","-11.7","X,0204","    3402.3","3","    3402.3","X","    610.7"," ,X","      797"," ,X","      8.60","X","     11.76","X","      5.44","X"
"UKW00035036","1957","52.85","0.76667","68.3","SCULTHORPE ENGLAND, ENG UK","     16.2","","      16.2","X","       170","X","        76","X","         3","X","        1","","         1","X","         0","X","        26","X","         0","X","        29","X","         0","X","       120"," ","        15"," ","   -4.4","X,1210,+","    25"," ,X,0219, ","    64"," ,X,0223, ","  33.5"," ,X,1213, ","   31.1","X,0628, ","-1.1","X,1124","-3.3","X,1202","-4.4","X,1210","","","0.0","X,0508","-3.9","X,0222","-4.4","X,0221","","","","","    3153.3","3","    3153.3","X","    627.7"," ,X","       82"," ,X","      9.84","X","     13.01","X","      6.66","X"
"UKW00035036","1958","52.85","0.76667","68.3","SCULTHORPE ENGLAND, ENG UK","      7.2","","       7.2","X","       187","X","        88","X","         3","X","       14","","        10","X","         0","X","        55","X","         3","X","        31","X","         0","X","       216"," ","        28"," ","   -7.2","X,0312,+","   330"," ,X,0226, ","   229"," ,X,0225, ","  51.6"," ,X,0218, ","   25.6","X,0905, ","0.0","X,1125","-3.3","X,1207","","","","","-0.6","X,0413","-2.2","X,0324","-7.2","X,0312","-7.2","X,0312","","","    3402.8","8","    3402.8","X","    800.7"," ,X","      786"," ,X","      9.20","X","     12.37","X","      6.03","X"
