"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IDM00096607","2006","-0.485","117.157","10.0","TEMINDUNG, ID","","","","","","","","","         0","S","       331","S","       202","S","","","   35.2","S,0322, ","","","     32.37","S","",""
"IDM00096607","2007","-0.485","117.157","10.0","TEMINDUNG, ID","","","","","","","","","         0","S","       339","S","       192","S","","","   35.5","S,1230, ","","","     32.13","S","",""
"IDM00096607","2008","-0.485","117.157","10.0","TEMINDUNG, ID","","","","","","","","","         0","S","       338","S","       153","S","","","   35.0","S,0217,+","","","     31.55","S","",""
"IDM00096607","2009","-0.485","117.157","10.0","TEMINDUNG, ID","","","","","","","","","         0","S","       343","S","       221","S","","","   35.5","S,0915, ","","","     32.42","S","",""
"IDM00096607","2010","-0.485","117.157","10.0","TEMINDUNG, ID","","","","","","","","","         0","S","       351","S","       216","S","","","   36.2","S,0320, ","","","     32.50","S","",""
"IDM00096607","2011","-0.485","117.157","10.0","TEMINDUNG, ID","","","","","","","","","         0","S","       350","S","       199","S","","","   35.8","S,1119, ","","","     32.05","S","",""
"IDM00096607","2012","-0.485","117.157","10.0","TEMINDUNG, ID","","","","","","","","","         0","S","       350","S","       221","S","","","   35.4","S,1231, ","","","     32.32","S","",""
"IDM00096607","2013","-0.485","117.157","10.0","TEMINDUNG, ID","","","","","         0"," ","         0","S","","","","","","","   22.0","S,0228, ","","","","","","","     24.53","S"
"IDM00096607","2014","-0.485","117.157","10.0","TEMINDUNG, ID","","","","","         0","S","         0","S","","","","","","","   22.0","S,0216, ","","","","","","","     24.59","S"
"IDM00096607","2015","-0.485","117.157","10.0","TEMINDUNG, ID","","","","","","","","","         0","S","       345","S","       259","S","","","   36.0","S,1013, ","","","     32.89","S","",""
"IDM00096607","2016","-0.485","117.157","10.0","TEMINDUNG, ID","   3724.9","","    3724.9"," ","         0","S","         0","S","         0","S","       338","S","       250","S","   22.5","S,0913, ","   36.6","S,0310, ","     29.14","S","     33.11","S","     25.17","S"
"IDM00096607","2019","-0.485","117.157","10.0","TEMINDUNG, ID","","","","","         0","S","         0","S","","","","","","","   22.0","S,0217,+","","","","","","","     24.31","S"
"IDM00096607","2020","-0.485","117.157","10.0","TEMINDUNG, ID","","","","","         0","S","         0","S","","","","","","","   22.6","S,1128, ","","","","","","","     24.78","S"
"IDM00096607","2021","-0.485","117.157","10.0","TEMINDUNG, ID","","","","","         0","S","         0","S","","","","","","","   19.3","S,1221, ","","","","","","","     24.32","S"
"IDM00096607","2022","-0.485","117.157","10.0","TEMINDUNG, ID","   3358.5","","    3358.5","S","","","","","         0","S","       355","S","       222","S","","","   35.6","S,1212, ","","","     32.38","S","",""
"IDM00096607","2023","-0.485","117.157","10.0","TEMINDUNG, ID","","","","","         0","S","         0","S","","","","","","","   21.4","S,0728, ","","","","","","","     23.48","S"
