"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"EN000026141","1991","59.133","26.233","123.0","VALKE MAARJA, EN","","","","","       200","I","        88","I","         2","I","","","","","","","","","","","","","  28.1"," ,I,0615, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    736.7"," ,I","","","","","",""
"EN000026141","2007","59.133","26.233","123.0","VALKE MAARJA, EN","     66.0","","      66.0","S","       175","S","        71","S","         2","S","        13","S","       146","S","        43","S","        72","S","         2","S","  -25.5","S,0208, ","  26.4"," ,S,0918, ","   32.8","S,0705,+","-1.3","S,1011","-3.2","S,1021","-6.0","S,1104","-10.1","S,1105","-10.1","S,1105","-0.7","S,0512","-2.2","S,0505","-7.7","S,0409","-7.7","S,0409","-14.6","S,0226","    4014.8","8","    4014.8","S","    598.4"," ,S","      6.32","S","     11.01","S","      1.65","S"
"EN000026141","2008","59.133","26.233","123.0","VALKE MAARJA, EN","      8.3","","       8.3","S","       207","S","       100","S","         2","S","         0","S","       139","S","        34","S","        52","S","         0","S","  -13.8","S,0105, ","  38.1"," ,S,0618, ","   27.3","S,0818,+","-0.4","S,0930","-2.2","S,1102","-4.7","S,1107","-9.7","S,1121","-9.7","S,1121","-2.0","S,0521","-3.1","S,0515","-5.1","S,0329","-11.0","S,0324","-11.0","S,0324","    4155.4","4","    4155.4","S","    919.9"," ,S","      6.54","S","     10.61","S","      2.47","S"
"EN000026141","2009","59.133","26.233","123.0","VALKE MAARJA, EN","      6.4","","       6.4","S","       185","S","        85","S","         2","S","        10","S","       162","S","        69","S","        65","S","         0","S","  -23.1","S,0201, ","  35.3"," ,S,0814, ","   28.4","S,0602,+","-1.5","S,1002","-2.6","S,1003","-7.2","S,1101","-7.2","S,1101","-17.5","S,1214","-2.7","S,0516","-2.7","S,0516","-5.5","S,0421","-17.9","S,0327","-17.9","S,0327","    4483.9","9","    4483.9","S","    788.4"," ,S","      5.23","S","      9.50","S","      0.96","S"
"EN000026141","2010","59.133","26.233","123.0","VALKE MAARJA, EN","    167.4","","     167.4","S","","","","","","","        28","S","       175","S","       107","S","        75","S","         5","S","  -29.3","S,0124, ","","","   34.3","S,0808,+","-2.4","S,1001","-2.4","S,1001","-4.8","S,1017","-7.1","S,1125","-10.4","S,1126","-2.1","S,0506","-2.4","S,0426","-4.8","S,0326","-9.2","S,0325","-9.2","S,0325","    5069.0","0","    5069.0","S","","","      4.31","S","      9.02","S","     -0.41","S"
"EN000026141","2011","59.133","26.233","123.0","VALKE MAARJA, EN","     99.4","","      99.4","S","       179","S","        84","S","         2","S","        17","S","       140","S","        56","S","        78","S","         0","S","  -31.5","S,0218, ","  56.9"," ,S,0726, ","   30.1","S,0722,+","-0.1","S,1014","-3.7","S,1110","-5.6","S,1120","","","","","-0.8","S,0503","-3.3","S,0420","-4.4","S,0415","-8.8","S,0401","-13.2","S,0331","    5046.0","0","    5046.0","S","    713.3"," ,S","      6.15","S","     10.69","S","      1.62","S"
"EN000026141","2012","59.133","26.233","123.0","VALKE MAARJA, EN","     36.1","","      36.1","S","       199","S","       102","S","         1","S","        21","S","       158","S","        85","S","        51","S","         0","S","  -33.1","S,0205, ","  39.9"," ,S,0517, ","   31.0","S,0730,+","-0.2","S,1014","-3.6","S,1026","-10.1","S,1027","-10.1","S,1027","-10.1","S,1027","-1.4","S,0514","-2.6","S,0411","-6.1","S,0410","-15.2","S,0409","-15.2","S,0409","    4474.8","8","    4474.8","S","    805.5"," ,S","      4.57","S","      8.83","S","      0.32","S"
"EN000026141","2013","59.133","26.233","123.0","VALKE MAARJA, EN","     72.9","","      72.9","S","","","","","","","        15","S","       146","S","        67","S","        95","S","         0","S","  -26.5","S,0119, ","","","   31.6","S,0809,+","-0.8","S,0926","-2.5","S,1016","-5.9","S,1021","-9.4","S,1130","-9.4","S,1130","-1.6","S,0503","-2.2","S,0411","-8.5","S,0410","-8.5","S,0410","-12.1","S,0409","    4887.4","4","    4887.4","S","","","      5.99","S","     10.72","S","      1.25","S"
"EN000026141","2014","59.133","26.233","123.0","VALKE MAARJA, EN","     83.8","","      83.8","S","","","","","","","        12","S","       166","S","        53","S","        69","S","         0","S","  -23.1","S,0123, ","","","   30.6","S,0727,+","-0.4","S,0924","-2.9","S,1002","-4.4","S,1017","-6.9","S,1022","-14.1","S,1130","-1.8","S,0516","-4.1","S,0507","-4.8","S,0425","-7.6","S,0402","-13.1","S,0320","    4190.5","5","    4190.5","S","","","      6.05","S","     10.61","S","      1.49","S"
"EN000026141","2015","59.133","26.233","123.0","VALKE MAARJA, EN","     11.2","","      11.2","S","","","","","","","         2","S","       140","S","        23","S","        38","S","         0","S","  -20.7","S,0107, ","","","   27.7","S,0808, ","-1.6","S,1006","-2.7","S,1015","-5.7","S,1017","-6.8","S,1029","-9.8","S,1227","-0.1","S,0517","-3.5","S,0425","-5.5","S,0326","-8.6","S,0322","-11.7","S,0217","    4355.1","1","    4355.1","S","","","      6.59","S","     11.17","S","      2.01","S"
"EN000026141","2016","59.133","26.233","123.0","VALKE MAARJA, EN","     27.1","","      27.1","S","","","","","","","        15","S","       161","S","        54","S","        66","S","         0","S","  -28.0","S,0108, ","","","   28.8","S,0626, ","-0.5","S,1010","-3.3","S,1012","-4.6","S,1103","-8.9","S,1104","-8.9","S,1104","-0.1","S,0501","-4.1","S,0325","-11.6","S,0324","-11.6","S,0324","-11.6","S,0324","    4229.0","0","    4229.0","S","","","      5.56","S","      9.84","S","      1.29","S"
"EN000026141","2017","59.133","26.233","123.0","VALKE MAARJA, EN","      8.3","","       8.3","S","","","","","","","         4","S","       182","S","        38","S","        50","S","         0","S","  -20.1","S,0207, ","","","   27.5","S,0813,+","-1.5","S,1006","-2.6","S,1020","-5.3","S,1024","","","","","-1.0","S,0517","-4.0","S,0513","-5.4","S,0511","-7.3","S,0416","-9.0","S,0224","    4509.6","6","    4509.6","S","","","      5.48","S","      9.55","S","      1.41","S"
"EN000026141","2018","59.133","26.233","123.0","VALKE MAARJA, EN","    135.2","","     135.2","S","","","","","","","         9","S","       151","S","        75","S","        93","S","         0","S","  -23.3","S,0228, ","","","   31.4","S,0811,+","-1.1","S,0929","-2.7","S,1025","-6.5","S,1125","-6.7","S,1127","-10.9","S,1128","-0.1","S,0607","-3.5","S,0423","-7.8","S,0404","-7.8","S,0404","-10.2","S,0330","    4545.6","6","    4545.6","S","","","      6.37","S","     11.09","S","      1.65","S"
"EN000026141","2019","59.133","26.233","123.0","VALKE MAARJA, EN","     48.0","","      48.0","S","","","","","","","         6","S","       144","S","        40","S","        77","S","         1","S","  -25.3","S,0122, ","","","   32.4","S,0728, ","0.0","S,0923","-2.7","S,1029","-4.7","S,1030","-7.0","S,1124","","","-1.6","S,0509","-2.8","S,0504","-5.6","S,0327","-9.7","S,0312","-9.7","S,0312","    4210.1","1","    4210.1","S","","","      6.51","S","     11.25","S","      1.76","S"
"EN000026141","2020","59.133","26.233","123.0","VALKE MAARJA, EN","     28.3","","      28.3","S","","","","","","","         0","S","       132","S","        15","S","        62","S","         0","S","  -14.0","S,0229, ","","","   29.3","S,0619,+","-0.3","S,1016","-2.6","S,1121","-5.1","S,1207","-7.0","S,1208","","","-0.7","S,0523","-2.3","S,0515","-8.8","S,0331","-8.8","S,0331","-14.0","S,0229","    4122.6","6","    4122.6","S","","","      7.35","S","     11.71","S","      3.00","S"
"EN000026141","2021","59.133","26.233","123.0","VALKE MAARJA, EN","    124.9","","     124.9","S","","","","","","","        16","S","       157","S","        74","S","        80","S","         4","S","  -27.1","S,1207, ","","","   32.6","S,0710, ","-1.1","S,0923","-4.8","S,1109","-4.8","S,1109","-7.7","S,1130","-16.9","S,1201","-1.9","S,0505","-2.6","S,0502","-4.7","S,0408","-13.2","S,0323","-13.2","S,0323","    4363.3","3","    4363.3","S","","","      5.64","S","     10.18","S","      1.10","S"
"EN000026141","2022","59.133","26.233","123.0","VALKE MAARJA, EN","     98.8","","      98.8","S","","","","","","","         2","S","       165","S","        56","S","        66","S","         0","S","  -19.8","S,0112, ","","","   31.6","S,0828, ","-0.4","S,0926","-2.2","S,1013","-4.4","S,1118","-7.0","S,1119","-9.8","S,1120","-0.1","S,0510","-2.3","S,0505","-5.8","S,0406","-11.4","S,0403","-11.4","S,0403","    4624.7","7","    4624.7","S","","","      5.96","S","     10.84","S","      1.09","S"
"EN000026141","2023","59.133","26.233","123.0","VALKE MAARJA, EN","     41.6","","      41.6","S","","","","","","","         7","S","       171","S","        65","S","        86","S","         0","S","  -21.1","S,0310, ","","","   30.8","S,0808,+","-1.2","S,1009","-2.4","S,1010","-7.2","S,1117","-7.2","S,1117","-10.7","S,1121","-1.4","S,0602","-2.6","S,0508","-4.6","S,0507","-7.0","S,0330","-9.7","S,0313","    4444.0","0","    4444.0","S","","","      6.19","S","     10.97","S","      1.40","S"
