"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00294066","1947","35.76667","-105.7","2318.0","HOLY GHOST CANYON, NM US","","","","","","","","","        13"," ","","","","","","","",""
"USC00294066","1948","35.76667","-105.7","2318.0","HOLY GHOST CANYON, NM US","       108","0","        62","0","         3","0","        25","0","        35"," ","   305"," ,0,0310, ","  31.0"," ,0,0805, ","    634.6"," ,0","     2062"," ,0"
"USC00294066","1949","35.76667","-105.7","2318.0","HOLY GHOST CANYON, NM US","       127","0","        75","0","         4","0","        31","0","        34"," ","   254"," ,0,0410, ","  38.9"," ,0,0611, ","    683.1"," ,0","     2667"," ,0"
"USC00294066","1950","35.76667","-105.7","2318.0","HOLY GHOST CANYON, NM US","","","","","","","","","        45"," ","","","","","","","",""
"USC00294066","1951","35.76667","-105.7","2318.0","HOLY GHOST CANYON, NM US","       111","0","        63","0","         5","0","        28","0","        43"," ","   193"," ,0,1220, ","  38.6"," ,0,0801, ","    612.5"," ,0","     2495"," ,0"
"USC00294066","1952","35.76667","-105.7","2318.0","HOLY GHOST CANYON, NM US","       111","0","        54","0","         1","0","        27","0","        47"," ","   178"," ,0,0301, ","  25.4"," ,0,0822, ","    551.6"," ,0","     2151"," ,0"
"USC00294066","1953","35.76667","-105.7","2318.0","HOLY GHOST CANYON, NM US","        94","0","        56","0","         4","0","        25","0","        28"," ","   165"," ,0,1105, ","  44.2"," ,0,1105, ","    570.3"," ,0","     1925"," ,0"
"USC00294066","1954","35.76667","-105.7","2318.0","HOLY GHOST CANYON, NM US","        96","0","        56","0","         0","0","        12","0","        45"," ","   203"," ,0,0113, ","  23.1"," ,0,0323, ","    492.5"," ,0","      912"," ,0"
"USC00294066","1955","35.76667","-105.7","2318.0","HOLY GHOST CANYON, NM US","        95","0","        59","0","         3","0","        21","0","        47"," ","   318"," ,0,1202, ","  61.5"," ,0,0712, ","    687.9"," ,0","     2039"," ,0"
"USC00294066","1956","35.76667","-105.7","2318.0","HOLY GHOST CANYON, NM US","","","","","","","","","        33"," ","","","","","","","",""
