"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UY000086315","1981","-30.267","-57.583","53.0","BELLA UNION, UY","        63","I","        54","I","        16","I","","","","","",""," 100.0"," ,I,0507, ","","","","","   1290.0"," ,I","",""
"UY000086315","1982","-30.267","-57.583","53.0","BELLA UNION, UY","        65","I","        56","I","        19","I","","","","","",""," 121.0"," ,I,0927, ","","","","","   1248.0"," ,I","",""
"UY000086315","1983","-30.267","-57.583","53.0","BELLA UNION, UY","        81","I","        63","I","        18","I","","","","","",""," 147.0"," ,I,0505, ","","","","","   1477.0"," ,I","",""
"UY000086315","1984","-30.267","-57.583","53.0","BELLA UNION, UY","        82","I","        66","I","        12","I","","","","","","","  87.0"," ,I,0401, ","","","","","   1236.5"," ,I","",""
"UY000086315","1985","-30.267","-57.583","53.0","BELLA UNION, UY","        85","I","        65","I","        12","I","","","","","","","  99.0"," ,I,0219, ","","","","","   1267.0"," ,I","",""
"UY000086315","1986","-30.267","-57.583","53.0","BELLA UNION, UY","        96","I","        76","I","        26","I","","","","","",""," 114.0"," ,I,0524, ","","","","","   1910.0"," ,I","",""
"UY000086315","1987","-30.267","-57.583","53.0","BELLA UNION, UY","        74","I","        61","I","        23","I","","","","","",""," 157.0"," ,I,0401, ","","","","","   1458.0"," ,I","",""
"UY000086315","1989","-30.267","-57.583","53.0","BELLA UNION, UY","        58","I","        50","I","        10","I","","","","","","","  68.0"," ,I,0410, ","","","","","    878.0"," ,I","",""
"UY000086315","1990","-30.267","-57.583","53.0","BELLA UNION, UY","       112","I","        88","I","        23","I","","","","","",""," 160.0"," ,I,1210, ","","","","","   2063.0"," ,I","",""
"UY000086315","1991","-30.267","-57.583","53.0","BELLA UNION, UY","        68","I","        59","I","        22","I","","","","","",""," 130.0"," ,I,0416, ","","","","","   1632.0"," ,I","",""
"UY000086315","1992","-30.267","-57.583","53.0","BELLA UNION, UY","        83","I","        72","I","        27","I","","","","","","","  95.0"," ,I,0605, ","","","","","   1711.7"," ,I","",""
"UY000086315","1993","-30.267","-57.583","53.0","BELLA UNION, UY","        80","I","        68","I","        26","I","","","","","",""," 150.0"," ,I,0101, ","","","","","   1676.0"," ,I","",""
"UY000086315","1994","-30.267","-57.583","53.0","BELLA UNION, UY","        73","I","        60","I","        12","I","","","","","","","  69.0"," ,I,0217, ","","","","","   1048.0"," ,I","",""
"UY000086315","1995","-30.267","-57.583","53.0","BELLA UNION, UY","        70","I","        53","I","        13","I","","","","","",""," 103.0"," ,I,1026, ","","","","","   1146.0"," ,I","",""
"UY000086315","1996","-30.267","-57.583","53.0","BELLA UNION, UY","        65","I","        56","I","        18","I","","","","","",""," 103.0"," ,I,0425, ","","","","","   1188.5"," ,I","",""
"UY000086315","1997","-30.267","-57.583","53.0","BELLA UNION, UY","        94","I","        74","I","        20","I","","","","","",""," 246.0"," ,I,0205, ","","","","","   1597.0"," ,I","",""
"UY000086315","1998","-30.267","-57.583","53.0","BELLA UNION, UY","       100","I","        79","I","        28","I","","","","","",""," 143.0"," ,I,0127, ","","","","","   2188.0"," ,I","",""
"UY000086315","1999","-30.267","-57.583","53.0","BELLA UNION, UY","        73","I","        56","I","         9","I","","","","","","","  76.0"," ,I,0402, ","","","","","    886.0"," ,I","",""
"UY000086315","2002","-30.267","-57.583","53.0","BELLA UNION, UY","","","","","","","         0","S","         1","S","   -1.0","S,0624, ","","","-1.0","S,0624","","","","","     14.48","S"
"UY000086315","2004","-30.267","-57.583","53.0","BELLA UNION, UY","","","","","","","         0","S","         2","S","   -2.2","S,0711, ","","","-2.2","S,0711","-2.2","S,0711","","","     13.84","S"
