"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SP000006155","1959","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    798.7","","     798.7","E","        48","E","        35","E","         6","E","         0","E","         0","E","         0","E","       201","E","        16","E","    3.0","E,0223, ","  90.0"," ,E,0101, ","   41.4","E,0729, ","","","","","","","     803.9","9","     803.9","E","    521.7"," ,E","     18.35","E","     22.46","E","     14.25","E"
"SP000006155","1960","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    800.8","","     800.8","E","        61","E","        48","E","         5","E","         0","E","         0","E","         0","E","       203","E","        19","E","    1.4","E,0209, ","  60.0"," ,E,1027, ","   35.6","E,0825,+","","","","","","","     778.9","9","     778.9","E","    671.0"," ,E","     18.14","E","     22.60","E","     13.67","E"
"SP000006155","1961","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    772.3","","     772.3","E","        33","E","        28","E","        10","E","         0","E","         0","E","         0","E","       223","E","        10","E","    3.6","E,0311,+","  73.1"," ,E,1225, ","   38.4","E,0715, ","","","","","","","     850.3","3","     850.3","E","    568.1"," ,E","     18.27","E","     22.91","E","     13.62","E"
"SP000006155","1962","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    911.6","","     911.6","E","        56","E","        49","E","         7","E","         0","E","         0","E","         0","E","       201","E","        21","E","    2.0","E,0217, ","  97.2"," ,E,1227, ","   40.0","E,0821, ","","","","","","","     784.3","3","     784.3","E","    783.9"," ,E","     18.52","E","     22.73","E","     14.31","E"
"SP000006155","1963","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    799.1","","     799.1","E","        64","E","        52","E","        11","E","         0","E","         1","E","         0","E","       208","E","        17","E","   -1.0","E,0203, ","  68.7"," ,E,0101, ","   40.0","E,0710, ","","","-1.0","I,0203","","","     848.8","8","     848.8","E","    884.9"," ,E","     18.27","E","     22.37","E","     14.16","E"
"SP000006155","1964","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    899.1","","     899.1","E","        39","E","        33","E","         4","E","         0","E","         0","E","         0","E","       190","E","        12","E","    1.6","E,1230, ","  46.5"," ,E,0226, ","   37.0","E,0808,+","","","","","","","     812.0","0","     812.0","E","    406.3"," ,E","     18.30","E","     22.55","E","     14.07","E"
"SP000006155","1965","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    810.5","","     810.5","E","        43","E","        37","E","         4","E","         0","E","         0","E","         0","E","       204","E","        19","E","    2.0","E,0107, ","  51.5"," ,E,0127, ","   39.6","E,0723, ","","","","","","","     871.1","1","     871.1","E","    518.8"," ,E","     18.39","E","     22.75","E","     14.03","E"
"SP000006155","1966","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    779.0","","     779.0","E","        34","E","        25","E","         3","E","         0","E","         0","E","         0","E","       211","E","        20","E","    3.0","E,1225, ","  52.0"," ,E,0914, ","   41.0","E,0804, ","","","","","","","     598.1","1","     598.1","E","    335.0"," ,E","     18.60","E","     23.50","E","     13.69","E"
"SP000006155","1967","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    797.2","","     797.2","E","        45","E","        35","E","         5","E","         0","E","         0","E","         0","E","       192","E","        21","E","    1.0","E,0107, ","  62.0"," ,E,0213, ","   39.6","E,0802, ","","","","","","","     920.3","3","     920.3","E","    500.9"," ,E","     18.03","E","     22.53","E","     13.53","E"
"SP000006155","1968","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    817.0","","     817.0","E","        50","E","        33","E","         7","E","         0","E","         0","E","         0","E","       189","E","        28","E","    2.2","E,1230, ","  53.0"," ,E,1128, ","   39.0","E,0702, ","","","","","","","     890.6","6","     890.6","E","    576.2"," ,E","     18.21","E","     22.57","E","     13.86","E"
"SP000006155","1969","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    647.1","","     647.1","E","        77","E","        52","E","        13","E","         0","E","         0","E","         0","E","       202","E","         5","E","    2.0","E,0216,+"," 151.0"," ,E,0222, ","   38.0","E,0815, ","","","","","","","     824.5","5","     824.5","E","   1172.0"," ,E","     17.68","E","     21.91","E","     13.46","E"
"SP000006155","1970","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    778.9","","     778.9","E","        63","E","        42","E","        18","E","         0","E","         1","E","         0","E","       205","E","        21","E","   -0.2","E,1225, ","  92.6"," ,E,1226, ","   42.8","E,0808, ","-0.2","E,1225","","","","","     829.3","3","     829.3","E","   1153.8"," ,E","     18.00","E","     22.74","E","     13.25","E"
"SP000006155","1971","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    757.7","","     757.7","E","        61","E","        37","E","         7","E","         0","E","         0","E","         0","E","       189","E","        20","E","    1.4","E,1112,+","  76.0"," ,E,0308, ","   38.0","E,0801, ","","","","","","","    1069.2","2","    1069.2","E","    724.1"," ,E","     17.42","E","     22.00","E","     12.84","E"
"SP000006155","1972","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    549.0","","     549.0","E","        74","E","        51","E","         9","E","         0","E","         0","E","         0","E","       190","E","        13","E","    0.8","E,0124, ","  54.0"," ,E,1102, ","   39.0","E,0724, ","","","","","","","    1068.8","8","    1068.8","E","    836.0"," ,E","     17.03","E","     21.78","E","     12.28","E"
"SP000006155","1973","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","","","","","        41","E","        26","E","         7","E","","","","","","","","","","","","","  69.8"," ,E,1219, ","","","","","","","","","    1063.9","9","    1063.9","E","    511.3"," ,E","","","","","",""
"SP000006155","1974","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    705.5","","     705.5","E","        39","E","        23","E","         3","E","         0","E","         0","E","         0","E","       191","E","        14","E","    1.2","E,0305, ","  72.5"," ,E,0614, ","   39.8","E,0807, ","","","","","","","","","","","    348.0"," ,E","     17.41","E","     22.55","E","     12.27","E"
"SP000006155","1975","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    670.2","","     670.2","E","        64","E","        29","E","         5","E","         0","E","         0","E","         0","E","       190","E","        18","E","    2.0","E,0107, ","  55.5"," ,E,1216, ","   39.4","E,0809, ","","","","","","","    1013.4","4","    1013.4","E","    424.6"," ,E","     17.39","E","     22.43","E","     12.36","E"
