"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MOM00060318","1958","35.594","-5.32","3.0","SANIAT RMEL, MO","    738.4","","     738.4","S","","","","","","","         0","S","         0","S","         0","S","       226","S","        14","S","    2.2","S,0224,+","","","   36.1","S,0812,+","","","     18.62","S","     23.00","S","     14.24","S"
"MOM00060318","1983","35.594","-5.32","3.0","SANIAT RMEL, MO","","","","","        51","S","        31","S","         2","S","","","","","","","","","","","","","  47.0"," ,S,1116, ","","","    376.8"," ,S","","","","","",""
"MOM00060318","1992","35.594","-5.32","3.0","SANIAT RMEL, MO","","","","","        59","S","        37","S","         4","S","","","","","         0","S","       180","S","         4","S","","","  39.1"," ,S,0614, ","   36.0","S,0827, ","    480.7"," ,S","","","     21.93","S","",""
"MOM00060318","1993","35.594","-5.32","3.0","SANIAT RMEL, MO","","","","","        92","S","        55","S","         9","S","","","","","         0","S","       173","S","        14","S","","","  64.0"," ,S,1026,+","   36.5","S,0808, ","    766.8"," ,S","","","     21.88","S","",""
"MOM00060318","1994","35.594","-5.32","3.0","SANIAT RMEL, MO","","","","","        62","S","        35","S","         1","S","","","","","","","","","","","","","  26.9"," ,S,0107, ","","","    380.3"," ,S","","","","","",""
"MOM00060318","1996","35.594","-5.32","3.0","SANIAT RMEL, MO","","","","","       105","S","        75","S","        20","S","","","","","","","","","","","","","  64.0"," ,S,0216, ","","","   1394.7"," ,S","","","","","",""
"MOM00060318","1997","35.594","-5.32","3.0","SANIAT RMEL, MO","","","","","        74","S","        47","S","         6","S","","","","","","","","","","","","","  58.9"," ,S,0103, ","","","    654.2"," ,S","","","","","",""
"MOM00060318","1998","35.594","-5.32","3.0","SANIAT RMEL, MO","","","","","        56","S","        38","S","         1","S","","","","","","","","","","","","","  75.9"," ,S,0207, ","","","    438.1"," ,S","","","","","",""
"MOM00060318","2004","35.594","-5.32","3.0","SANIAT RMEL, MO","","","","","        56","S","        32","S","         3","S","","","","","","","","","","","","","  94.0"," ,S,0504, ","","","    417.5"," ,S","","","","","",""
"MOM00060318","2020","35.594","-5.32","3.0","SANIAT RMEL, MO","","","","","       116","S","        41","S","         2","S","","","","","         0","S","       232","S","        16","S","","","  68.8"," ,S,0324, ","   40.3","S,0802, ","    455.4"," ,S","","","     23.81","S","",""
"MOM00060318","2021","35.594","-5.32","3.0","SANIAT RMEL, MO","","","","","        97","S","        47","S","         4","S","","","","","","","","","","","","","  97.0"," ,S,0107, ","","","    568.9"," ,S","","","","","",""
"MOM00060318","2022","35.594","-5.32","3.0","SANIAT RMEL, MO","","","","","        98","S","        44","S","         9","S","","","","","","","","","","","","","  63.0"," ,S,0324, ","","","    642.8"," ,S","","","","","",""
"MOM00060318","2023","35.594","-5.32","3.0","SANIAT RMEL, MO","","","","","        75","S","        29","S","         5","S","","","","","         0","S","       232","S","        28","S","","","  56.6"," ,S,0602, ","   41.6","S,0811, ","    375.2"," ,S","","","     24.53","S","",""
"MOM00060318","2024","35.594","-5.32","3.0","SANIAT RMEL, MO","","","","","        73","S","        26","S","         3","S","","","","","","","","","","","","","  29.2"," ,S,0309, ","","","    380.1"," ,S","","","","","",""
