"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00264835","1949","38.53333","-117.08333","2108.0","MANHATTAN POWER HOUSE, NV US","        50","0","        22","0","         0","0","","","","","  24.9"," ,0,0517, ","","","","","    193.9"," ,0"
"USC00264835","1950","38.53333","-117.08333","2108.0","MANHATTAN POWER HOUSE, NV US","        35","0","        18","0","         0","0","","","        12"," ","  19.8"," ,0,0408, ","","","","","    164.7"," ,0"
"USC00264835","1951","38.53333","-117.08333","2108.0","MANHATTAN POWER HOUSE, NV US","","","","","","","         1"," ","        14"," ","","","    3442.9","9","    3442.9","0","",""
