"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00142972","1906","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    587.4","","     587.4","6","        59","6","        51","6","        10","6","","","","","         1","6","       139","6","        15","6","       193","6","        53","6","","","  -18.9","6,0205, ","","","","","  52.1"," ,6,0727, ","   38.9","6,0816, ","-1.7","6,1021","-2.2","6,1022","-4.4","6,1023","-9.4","6,1118","-9.4","6,1118","-2.2","6,0414","-2.2","6,0414","-5.6","6,0331","-6.7","6,0321","-10.6","6,0320","    2788.9","9","    2788.9","6","    689.0"," ,6","","","     12.32","6","     20.53","6","      4.10","6"
"USC00142972","1907","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    746.2","","     746.2","6","        56","6","        43","6","         7","6","","","         6","6","         1","6","       156","6","        15","6","       198","6","        73","6","","","  -18.3","6,0204, ","","","   203"," ,6,1222, ","  48.3"," ,6,0502, ","   39.4","6,0810,+","-2.2","6,1008","-2.2","6,1008","-4.4","6,1110","-14.4","6,1111","-14.4","6,1111","-2.2","6,0527","-2.2","6,0527","-7.8","6,0430","-7.8","6,0430","-9.4","6,0314","    2634.4","4","    2634.4","6","    532.1"," ,6","      628"," ,6","     12.73","6","     21.18","6","      4.27","6"
"USC00142972","1908","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    698.3","","     698.3","6","        59","6","        50","6","         2","6","","","         7","6","         1","6","       153","6","         4","6","       205","6","        77","6","","","  -18.9","6,0201, ","","","   102"," ,6,1128,+","  50.8"," ,6,0610, ","   39.4","6,0627,+","-0.6","6,0928","-2.2","6,1012","-4.4","6,1109","-10.6","6,1111","-10.6","6,1111","0.0","6,0508","-2.2","6,0430","-7.2","6,0429","-7.2","6,0429","-10.6","6,0402","    2683.5","5","    2683.5","6","    423.9"," ,6","      407"," ,6","     12.96","6","     21.56","6","      4.36","6"
"USC00142972","1909","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    741.9","","     741.9","6","        60","6","        54","6","         6","6","       18","","        10","6","         9","6","       149","6","        26","6","       198","6","        74","6","","","  -25.0","6,0112, ","   127"," ,6,0311, ","   127"," ,6,0311, ","  47.5"," ,6,0714, ","   39.4","6,0816, ","-3.3","6,1011","-3.3","6,1011","-5.0","6,1106","-8.3","6,1115","-11.7","6,1204","-0.6","6,0503","-3.9","6,0502","-5.6","6,0501","-7.8","6,0317","-11.7","6,0314","    2872.6","6","    2872.6","6","    583.8"," ,6","      523"," ,6","     12.17","6","     20.37","6","      3.97","6"
"USC00142972","1910","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    696.4","","     696.4","6","        40","6","        32","6","         3","6","        7","","         2","6","         5","6","       149","6","        11","6","       226","6","        67","6","","","  -23.3","6,0106,+","   102"," ,6,0105,+","   102"," ,6,0104, ","  38.1"," ,6,0712, ","   41.1","6,0723, ","-1.1","6,1006","-5.0","6,1021","-5.0","6,1021","-7.2","6,1028","-11.7","6,1128","-1.7","6,0426","-2.8","6,0419","-4.4","6,0406","-6.7","6,0331","-9.4","6,0227","    2715.1","1","    2715.1","6","    360.3"," ,6","      159"," ,6","     13.02","6","     21.89","6","      4.16","6"
"USC00142972","1911","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    895.0","","     895.0","6","        51","6","        44","6","         4","6","       32","","        11","6","        13","6","       150","6","        26","6","       197","6","        93","6","","","  -27.2","6,0103, ","   356"," ,6,1221,+","   254"," ,6,1219, ","  48.3"," ,6,0722, ","   41.7","6,0624, ","-0.6","6,1008","-2.8","6,1021","-4.4","6,1030","-7.2","6,1101","-8.9","6,1102","-1.1","6,0502","-2.2","6,0501","-5.0","6,0415","-7.8","6,0327","-10.6","6,0302","    2523.7","7","    2523.7","6","    481.0"," ,6","      825"," ,6","     12.72","6","     21.13","6","      4.32","6"
"USC00142972","1912","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    660.5","","     660.5","6","        56","6","        44","6","         5","6","","","        10","6","        14","6","       163","6","        24","6","       181","6","        65","6","","","  -30.6","6,0112, ","","","   356"," ,6,0225, ","  52.6"," ,6,0428, ","   39.4","6,0825, ","-2.2","6,0925","-2.2","6,0925","-4.4","6,1101","-10.6","6,1102","-10.6","6,1102","-2.8","6,0422","-2.8","6,0422","-5.0","6,0407","-7.2","6,0325","-10.6","6,0324","    3455.8","8","    3455.8","6","    470.1"," ,6","      780"," ,6","     11.08","6","     19.22","6","      2.94","6"
"USC00142972","1913","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    874.1","","     874.1","6","        54","6","        44","6","         3","6","","","        10","6","        10","6","       141","6","        25","6","       192","6","        92","6","","","  -27.8","6,0108, ","","","   178"," ,6,0223, ","  39.6"," ,6,0924, ","   43.3","6,0713, ","-1.7","6,1011","-2.8","6,1026","-7.2","6,1027","-7.2","6,1027","-11.1","6,1029","-2.2","6,0413","-2.2","6,0413","-5.6","6,0412","-6.7","6,0404","-11.7","6,0327","    3064.1","1","    3064.1","6","    511.4"," ,6","      608"," ,6","     12.36","6","     20.59","6","      4.13","6"
"USC00142972","1914","37.966667","-100.866667","864.4","GARDEN CITY, KS US","","","","","        47","6","        30","6","         3","6","       10","","         5","6","         7","6","       144","6","","","","","","","","","  -22.2","6,1221,+","    51"," ,6,1221,+","    51"," ,6,1220,+","  39.9"," ,6,0601, ","","","0.0","6,1014","-2.8","6,1015","-7.2","6,1108","-7.2","6,1108","-8.9","6,1119","0.0","6,0413","-2.2","6,0412","-4.4","6,0409","-10.6","6,0408","-10.6","6,0408","    2705.6","6","    2705.6","6","    358.1"," ,6","      312"," ,6","","","","","      4.64","6"
"USC00142972","1915","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    484.9","","     484.9","6","        63","6","        46","6","         8","6","       15","","         8","6","         3","6","       136","6","         6","6","       190","6","        39","6","","","  -20.0","6,1228, ","    76"," ,6,0304,+","   102"," ,6,0116, ","  98.8"," ,6,0809, ","   39.4","6,0715, ","-1.7","6,1005","-7.8","6,1112","-7.8","6,1112","-7.8","6,1112","-9.4","6,1114","-1.1","6,0505","-3.9","6,0331","-8.9","6,0326","-8.9","6,0326","-8.9","6,0326","","","","","    714.9"," ,6","      432"," ,6","     12.05","6","     19.79","6","      4.31","6"
