"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES"
"USC00035189","2012","35.63333","-91.16667","72.8","NEWPORT ARMY AIR FIELD, AR US","","","","","","","","","","","","","","","","","","","","","","","        58"," ","         7"," ","        19"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00035189","2013","35.63333","-91.16667","72.8","NEWPORT ARMY AIR FIELD, AR US","       3.7","W","    976.5","","     976.5","W","        97","W","        74","W","        15","W","         0","W","        84","W","        13","W","       186","W","        53","W","       162"," ","        20"," ","        58"," ","   -8.8","W,1207, "," 127.0"," ,W,1221, ","   38.3","W,0627, ","-0.5","W,1025","-3.2","W,1112","-6.0","W,1113","-8.8","W,1207","","","-2.7","W,0327","-2.7","W,0327","-5.5","W,0303","-8.2","W,0201","","","","","","","   1211.1"," ,W","     14.99","W","     20.38","W","      9.59","W","       100","W","      18.3","W"
"USC00035189","2014","35.63333","-91.16667","72.8","NEWPORT ARMY AIR FIELD, AR US","       4.2","W","   1018.8","","    1018.8","W","        87","W","        61","W","        11","W","         0","W","        86","W","        15","W","       192","W","        58","W","       155"," ","        20"," ","        51"," ","  -14.3","W,0107, ","  73.7"," ,W,0629, ","   37.2","W,0823, ","-1.6","W,1101","-3.8","W,1113","-6.6","W,1114","-8.2","W,1118","","","0.0","W,0415","-3.8","W,0326","-6.6","W,0305","-8.8","W,0304","-12.1","W,0303","    2335.5","5","    2335.5","W","    921.0"," ,W","     14.89","W","     20.47","W","      9.31","W","        20","W","      16.1","W"
"USC00035189","2015","35.63333","-91.16667","72.8","NEWPORT ARMY AIR FIELD, AR US","","","","","","","","","","","","","","","","","","","","","","","       153"," ","        22"," ","        54"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","    2096.7","7","    2096.7","W","","","","","","","","","","","",""
"USC00035189","2016","35.63333","-91.16667","72.8","NEWPORT ARMY AIR FIELD, AR US","","","","","","","        91","W","        54","W","        14","W","","","","","","","","","","","       136"," ","        20"," ","        59"," ","","","  59.7"," ,W,0603, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    889.6"," ,W","","","","","","","","","",""
"USC00035189","2017","35.63333","-91.16667","72.8","NEWPORT ARMY AIR FIELD, AR US","","","","","","","","","","","","","","","","","","","","","","","       122"," ","        29"," ","        46"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00035189","2018","35.63333","-91.16667","72.8","NEWPORT ARMY AIR FIELD, AR US","","","","","","","","","","","","","","","","","","","","","","","       159"," ","        31"," ","        71"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00035189","2019","35.63333","-91.16667","72.8","NEWPORT ARMY AIR FIELD, AR US","","","","","","","","","","","","","","","","","","","","","","","       144"," ","        29"," ","        59"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","    1991.9","9","    1991.9"," ","","","","","","","","","","","",""
"USC00035189","2020","35.63333","-91.16667","72.8","NEWPORT ARMY AIR FIELD, AR US","       3.9","W","    948.9","","     948.9","W","","","","","","","         0","W","        40","W","         2","W","       192","W","        50","W","       155"," ","        22"," ","        62"," ","   -7.7","W,1225, ","","","   36.7","W,0810, ","0.0","W,1102","-5.5","W,1201","-5.5","W,1201","-7.7","W,1225","","","-0.5","W,0307","-2.7","W,0227","-4.9","W,0221","","","","","","","","","","","     15.85","W","     21.06","W","     10.63","W","       290","W","      14.8","W"
"USC00035189","2021","35.63333","-91.16667","72.8","NEWPORT ARMY AIR FIELD, AR US","       3.9","W","   1046.2","","    1046.2","W","","","","","","","         1","W","        67","W","         8","W","       207","W","        56","W","       150"," ","        25"," ","        32"," ","  -20.5","W,0216, ","","","   37.2","W,0731, ","-1.0","W,1104","-3.8","W,1126","","","","","","","-0.5","W,0421","-7.1","W,0221","-7.1","W,0221","-7.1","W,0221","-16.0","W,0220","    2053.2","2","    2053.2","W","","","     16.00","W","     21.58","W","     10.42","W","       220","W","      16.1","W"
"USC00035189","2022","35.63333","-91.16667","72.8","NEWPORT ARMY AIR FIELD, AR US","       4.1","W","   1066.9","","    1066.9","W","        91","W","        58","W","        10","W","         0","W","        84","W","         9","W","       204","W","        61","W","       125"," ","        13"," ","        37"," ","  -17.7","W,1223, ","  73.4"," ,W,0421, ","   38.3","W,0708, ","-0.5","W,1018","-3.2","W,1112","-4.9","W,1113","-17.1","W,1222","-17.1","W,1222","-1.0","W,0313","-6.0","W,0312","-6.0","W,0312","-7.1","W,0206","-9.9","W,0122","    1802.9","9","    1802.9","W","   1031.1"," ,W","     15.65","W","     21.55","W","      9.74","W","       240","W","      17.4","W"
"USC00035189","2023","35.63333","-91.16667","72.8","NEWPORT ARMY AIR FIELD, AR US","","","   1068.7","","    1068.7","W","        64","W","        44","W","        14","W","         0","W","        41","W","         2","W","       210","W","        65","W","       140"," ","        21"," ","        47"," ","   -4.9","W,0131,+"," 100.6"," ,W,0810, ","   37.8","W,0825, ","-2.1","W,1031","-3.2","W,1101","","","","","","","-2.7","W,0320","-2.7","W,0320","-4.9","W,0131","","","","","    1736.0","0","    1736.0","W","   1035.1"," ,W","     16.83","W","     22.48","W","     11.19","W","","","",""
"USC00035189","2024","35.63333","-91.16667","72.8","NEWPORT ARMY AIR FIELD, AR US","","","","","","","","","","","","","","","","","","","","","","","        82"," ","        22"," ","        32"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","    1630.7","7","    1630.7","W","","","","","","","","","","","",""
"USC00035189","2025","35.63333","-91.16667","72.8","NEWPORT ARMY AIR FIELD, AR US","","","","","","","","","","","","","","","","","","","","","","","        17"," ","         4"," ","        11"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
