"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00450641","1931","47.76667","-120.98333","860.1","BERNE, WA US","         0","6","       166","6","","","","","","","  -13.3","6,1129,+","","","-1.1","6,0906","-2.2","6,1020","-7.8","6,1109","-7.8","6,1109","-10.6","6,1120","0.0","6,0517","-3.3","6,0419","-5.6","6,0418","-6.7","6,0308","-8.9","6,0307","","","      1.42","6"
"USC00450641","1932","47.76667","-120.98333","860.1","BERNE, WA US","         6","6","       161","6","","","","","","","  -19.4","6,1210, ","","","-1.1","6,0920","-2.8","6,1027","-6.7","6,1109","-6.7","6,1109","-11.7","6,1206","-1.1","6,0525","-2.2","6,0419","-6.7","6,0416","-6.7","6,0416","-10.0","6,0312","","","      0.97","6"
"USC00450641","1935","47.76667","-120.98333","860.1","BERNE, WA US","","","","","        38","6","        60","6","         2","6","","","   35.0","6,0714, ","","","","","","","","","","","","","","","","","","","","","     10.67","6","",""
