"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00519510","1950","20.06667","-155.63333","299.0","WAIMA LOWER 197, HI US","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00519510","1952","20.06667","-155.63333","299.0","WAIMA LOWER 197, HI US","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00519510","1953","20.06667","-155.63333","299.0","WAIMA LOWER 197, HI US","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00519510","1954","20.06667","-155.63333","299.0","WAIMA LOWER 197, HI US","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00519510","1955","20.06667","-155.63333","299.0","WAIMA LOWER 197, HI US","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00519510","1956","20.06667","-155.63333","299.0","WAIMA LOWER 197, HI US","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00519510","1957","20.06667","-155.63333","299.0","WAIMA LOWER 197, HI US","        0","","         0","0","         1"," ","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00519510","1959","20.06667","-155.63333","299.0","WAIMA LOWER 197, HI US","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00519510","1960","20.06667","-155.63333","299.0","WAIMA LOWER 197, HI US","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00519510","1961","20.06667","-155.63333","299.0","WAIMA LOWER 197, HI US","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00519510","1962","20.06667","-155.63333","299.0","WAIMA LOWER 197, HI US","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
