"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NOE00111309","1957","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       157","E","        92","E","         2","E","      157","","","","","","","","","","","","","","   600"," ,E,1218, ","  38.5"," ,E,0116, ","","","","","","","","","","","","","","","","","","","","","","","    771.9"," ,E","","","","","",""
"NOE00111309","1958","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       143","E","        75","E","         2","E","      177","","","","","","","","","","","","","","  1060"," ,E,0329, ","  27.5"," ,E,0913, ","","","","","","","","","","","","","","","","","","","","","","","    709.7"," ,E","","","","","",""
"NOE00111309","1959","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       176","E","       105","E","         2","E","      137","","","","","","","","","","","","","","   620"," ,E,0201, ","  43.5"," ,E,1005, ","","","","","","","","","","","","","","","","","","","","","","","    906.3"," ,E","","","","","",""
"NOE00111309","1960","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       142","E","        82","E","         1","E","      179","","","","","","","","","","","","","","   520"," ,E,0213, ","  28.1"," ,E,0208, ","","","","","","","","","","","","","","","","","","","","","","","    586.5"," ,E","","","","","",""
"NOE00111309","1961","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       154","E","        90","E","         1","E","      181","","","","","","","","","","","","","","   800"," ,E,0325, ","  58.5"," ,E,0222, ","","","","","","","","","","","","","","","","","","","","","","","    882.7"," ,E","","","","","",""
"NOE00111309","1962","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       161","E","        91","E","         1","E","      205","","","","","","","","","","","","","","   990"," ,E,0326, ","  30.2"," ,E,1009, ","","","","","","","","","","","","","","","","","","","","","","","    773.5"," ,E","","","","","",""
"NOE00111309","1963","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       172","E","        96","E","         2","E","      184","","","","","","","","","","","","","","   960"," ,E,0323,+","  33.0"," ,E,1025, ","","","","","","","","","","","","","","","","","","","","","","","    817.0"," ,E","","","","","",""
"NOE00111309","1964","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","      2.2","","       2.2","E","       193","E","       121","E","         8","E","","","         1","E","       168","E","        69","E","         7","E","         0","E","  -18.4","E,0212, ","","","  43.3"," ,E,0108, ","   23.7","E,0807, ","-0.1","E,0911","-2.2","E,0926","-5.4","E,1103","-12.3","E,1106","-12.3","E,1106","0.0","E,0607","-3.5","E,0427","-5.0","E,0425","-6.9","E,0424","-10.1","E,0331","   1145.0"," ,E","      3.27","E","      6.27","E","      0.26","E"
"NOE00111309","1965","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       156","E","        83","E","         0","E","      214","","","","","","","","","","","","","","  1520"," ,E,0402, ","  21.8"," ,E,0702, ","","","","","","","","","","","","","","","","","","","","","","","    696.5"," ,E","","","","","",""
"NOE00111309","1966","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       145","E","        76","E","         0","E","      213","","","","","","","","","","","","","","   890"," ,E,0320, ","  19.4"," ,E,0621, ","","","","","","","","","","","","","","","","","","","","","","","    619.7"," ,E","","","","","",""
"NOE00111309","1967","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       159","E","        89","E","         1","E","      184","","","","","","","","","","","","","","   570"," ,E,0208, ","  30.0"," ,E,0807, ","","","","","","","","","","","","","","","","","","","","","","","    728.3"," ,E","","","","","",""
"NOE00111309","1968","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       187","E","       105","E","         0","E","      207","","","","","","","","","","","","","","  1000"," ,E,0409, ","  18.1"," ,E,0607, ","","","","","","","","","","","","","","","","","","","","","","","    715.3"," ,E","","","","","",""
"NOE00111309","1969","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       145","E","        75","E","         0","E","      178","","","","","","","","","","","","","","   620"," ,E,0405, ","  17.9"," ,E,0606, ","","","","","","","","","","","","","","","","","","","","","","","    550.9"," ,E","","","","","",""
"NOE00111309","1970","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       153","E","        72","E","         2","E","      189","","","","","","","","","","","","","","   670"," ,E,1215, ","  30.1"," ,E,1210, ","","","","","","","","","","","","","","","","","","","","","","","    659.1"," ,E","","","","","",""
"NOE00111309","1971","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       184","E","       102","E","         0","E","      214","","","","","","","","","","","","","","  1530"," ,E,0311, ","  24.9"," ,E,1028, ","","","","","","","","","","","","","","","","","","","","","","","    965.8"," ,E","","","","","",""
"NOE00111309","1972","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       165","E","        95","E","         2","E","      174","","","","","","","","","","","","","","   560"," ,E,0317, ","  30.2"," ,E,0613, ","","","","","","","","","","","","","","","","","","","","","","","    833.6"," ,E","","","","","",""
"NOE00111309","1973","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       182","E","       108","E","         1","E","      209","","","","","","","","","","","","","","   760"," ,E,0322, ","  27.5"," ,E,0309, ","","","","","","","","","","","","","","","","","","","","","","","    867.5"," ,E","","","","","",""
"NOE00111309","1974","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       159","E","        80","E","         1","E","      149","","","","","","","","","","","","","","   930"," ,E,0203, ","  27.4"," ,E,0920, ","","","","","","","","","","","","","","","","","","","","","","","    624.7"," ,E","","","","","",""
"NOE00111309","1975","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       218","E","       134","E","         1","E","      179","","","","","","","","","","","","","","  1170"," ,E,1228, ","  30.6"," ,E,0226, ","","","","","","","","","","","","","","","","","","","","","","","   1136.2"," ,E","","","","","",""
"NOE00111309","1976","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       146","E","        64","E","         0","E","      208","","","","","","","","","","","","","","  1130"," ,E,0105, ","  25.3"," ,E,0930, ","","","","","","","","","","","","","","","","","","","","","","","    559.8"," ,E","","","","","",""
"NOE00111309","1977","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       159","E","        77","E","         0","E","      186","","","","","","","","","","","","","","   800"," ,E,0310,+","  22.2"," ,E,0806, ","","","","","","","","","","","","","","","","","","","","","","","    628.1"," ,E","","","","","",""
"NOE00111309","1978","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       159","E","        95","E","         0","E","      218","","","","","","","","","","","","","","  1520"," ,E,0405, ","  25.1"," ,E,1014, ","","","","","","","","","","","","","","","","","","","","","","","    760.2"," ,E","","","","","",""
"NOE00111309","1979","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       146","E","        79","E","         2","E","      182","","","","","","","","","","","","","","   850"," ,E,0102, ","  34.0"," ,E,1022, ","","","","","","","","","","","","","","","","","","","","","","","    595.2"," ,E","","","","","",""
"NOE00111309","1980","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       145","E","        77","E","         1","E","      194","","","","","","","","","","","","","","  1000"," ,E,1231,+","  25.8"," ,E,1210, ","","","","","","","","","","","","","","","","","","","","","","","    609.5"," ,E","","","","","",""
"NOE00111309","1981","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       156","E","        70","E","         2","E","      190","","","","","","","","","","","","","","  1740"," ,E,0202, ","  36.1"," ,E,0128, ","","","","","","","","","","","","","","","","","","","","","","","    616.3"," ,E","","","","","",""
"NOE00111309","1982","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       190","E","       100","E","         0","E","      174","","","","","","","","","","","","","","   840"," ,E,0405, ","  22.5"," ,E,0220, ","","","","","","","","","","","","","","","","","","","","","","","    832.0"," ,E","","","","","",""
"NOE00111309","1983","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       200","E","       106","E","         1","E","      190","","","","","","","","","","","","","","   870"," ,E,0312, ","  35.4"," ,E,1107, ","","","","","","","","","","","","","","","","","","","","","","","    866.6"," ,E","","","","","",""
"NOE00111309","1984","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       134","E","        68","E","         2","E","      133","","","","","","","","","","","","","","   880"," ,E,0106, ","  33.9"," ,E,0807, ","","","","","","","","","","","","","","","","","","","","","","","    532.8"," ,E","","","","","",""
"NOE00111309","1985","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       172","E","       100","E","         4","E","      201","","","","","","","","","","","","","","   490"," ,E,0127, ","  34.7"," ,E,1025, ","","","","","","","","","","","","","","","","","","","","","","","    926.7"," ,E","","","","","",""
"NOE00111309","1986","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       159","E","        76","E","         0","E","      194","","","","","","","","","","","","","","   830"," ,E,0301, ","  16.9"," ,E,1202, ","","","","","","","","","","","","","","","","","","","","","","","    614.7"," ,E","","","","","",""
"NOE00111309","1987","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       160","E","        82","E","         2","E","      186","","","","","","","","","","","","","","   760"," ,E,1228, ","  28.5"," ,E,1003, ","","","","","","","","","","","","","","","","","","","","","","","    651.6"," ,E","","","","","",""
"NOE00111309","1988","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       167","E","        87","E","         1","E","      200","","","","","","","","","","","","","","   930"," ,E,0422,+","  38.1"," ,E,1111, ","","","","","","","","","","","","","","","","","","","","","","","    809.0"," ,E","","","","","",""
"NOE00111309","1989","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       183","E","       112","E","         4","E","      170","","","","","","","","","","","","","","  1400"," ,E,0218, ","  36.1"," ,E,1201, ","","","","","","","","","","","","","","","","","","","","","","","   1058.1"," ,E","","","","","",""
"NOE00111309","1990","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       171","E","       110","E","         2","E","      170","","","","","","","","","","","","","","   810"," ,E,0409, ","  32.6"," ,E,0502, ","","","","","","","","","","","","","","","","","","","","","","","    983.9"," ,E","","","","","",""
"NOE00111309","1991","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       177","E","       107","E","         2","E","      177","","","","","","","","","","","","","","   780"," ,E,0331,+","  31.7"," ,E,0122, ","","","","","","","","","","","","","","","","","","","","","","","    909.1"," ,E","","","","","",""
"NOE00111309","1992","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       189","E","       108","E","         1","E","      218","","","","","","","","","","","","","","  1180"," ,E,0118, ","  28.9"," ,E,0127, ","","","","","","","","","","","","","","","","","","","","","","","    947.2"," ,E","","","","","",""
"NOE00111309","1993","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       163","E","        89","E","         1","E","      197","","","","","","","","","","","","","","  1280"," ,E,0313, ","  26.7"," ,E,0717, ","","","","","","","","","","","","","","","","","","","","","","","    800.2"," ,E","","","","","",""
"NOE00111309","1994","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       182","E","        96","E","         1","E","      192","","","","","","","","","","","","","","   670"," ,E,0301, ","  36.9"," ,E,1212, ","","","","","","","","","","","","","","","","","","","","","","","    861.6"," ,E","","","","","",""
"NOE00111309","1995","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       186","E","       111","E","         1","E","      212","","","","","","","","","","","","","","   880"," ,E,0209, ","  25.4"," ,E,0827, ","","","","","","","","","","","","","","","","","","","","","","","    955.0"," ,E","","","","","",""
"NOE00111309","1996","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       148","E","        82","E","         0","E","      203","","","","","","","","","","","","","","   860"," ,E,0421,+","  20.2"," ,E,1010, ","","","","","","","","","","","","","","","","","","","","","","","    681.3"," ,E","","","","","",""
"NOE00111309","1997","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       175","E","       104","E","         1","E","      218","","","","","","","","","","","","","","  1940"," ,E,0429, ","  28.2"," ,E,0416, ","","","","","","","","","","","","","","","","","","","","","","","    976.9"," ,E","","","","","",""
"NOE00111309","1998","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       143","E","        75","E","         2","E","      138","","","","","","","","","","","","","","   850"," ,E,0226, ","  40.1"," ,E,0125, ","","","","","","","","","","","","","","","","","","","","","","","    696.7"," ,E","","","","","",""
"NOE00111309","1999","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       187","E","       113","E","         2","E","      170","","","","","","","","","","","","","","   620"," ,E,0411, ","  34.6"," ,E,1112, ","","","","","","","","","","","","","","","","","","","","","","","    928.9"," ,E","","","","","",""
"NOE00111309","2000","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       185","E","       105","E","         1","E","      157","","","","","","","","","","","","","","  1610"," ,E,0326, ","  36.8"," ,E,0329, ","","","","","","","","","","","","","","","","","","","","","","","    920.8"," ,E","","","","","",""
"NOE00111309","2001","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       170","E","        99","E","         3","E","      182","","","","","","","","","","","","","","   500"," ,E,0308, ","  47.0"," ,E,0801, ","","","","","","","","","","","","","","","","","","","","","","","    968.0"," ,E","","","","","",""
"NOE00111309","2002","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       160","E","        86","E","         4","E","      138","","","","","","","","","","","","","","   750"," ,E,0221, ","  47.5"," ,E,0110, ","","","","","","","","","","","","","","","","","","","","","","","    832.4"," ,E","","","","","",""
"NOE00111309","2003","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       170","E","       108","E","         5","E","      159","","","","","","","","","","","","","","   600"," ,E,0125, ","  45.5"," ,E,0920, ","","","","","","","","","","","","","","","","","","","","","","","   1068.7"," ,E","","","","","",""
"NOE00111309","2004","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       183","E","       101","E","         2","E","      162","","","","","","","","","","","","","","   530"," ,E,0306, ","  39.0"," ,E,0720, ","","","","","","","","","","","","","","","","","","","","","","","    848.3"," ,E","","","","","",""
"NOE00111309","2005","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       191","E","       104","E","         1","E","      153","","","","","","","","","","","","","","   770"," ,E,0310, ","  31.5"," ,E,0826, ","","","","","","","","","","","","","","","","","","","","","","","    891.8"," ,E","","","","","",""
"NOE00111309","2006","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       170","E","        97","E","         2","E","      178","","","","","","","","","","","","","","   710"," ,E,0227, ","  44.0"," ,E,0125, ","","","","","","","","","","","","","","","","","","","","","","","    968.0"," ,E","","","","","",""
"NOE00111309","2007","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       185","E","       112","E","         2","E","      164","","","","","","","","","","","","","","  1090"," ,E,0212, ","  27.4"," ,E,0809, ","","","","","","","","","","","","","","","","","","","","","","","    946.4"," ,E","","","","","",""
"NOE00111309","2008","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       161","E","        80","E","         2","E","      171","","","","","","","","","","","","","","   620"," ,E,0419, ","  28.4"," ,E,0417, ","","","","","","","","","","","","","","","","","","","","","","","    713.7"," ,E","","","","","",""
"NOE00111309","2009","69.2469","19.2308","27.0","STORSTEINNES I BALSFJORD, NO","","","","","       151","E","        85","E","         0","E","      158","","","","","","","","","","","","","","   610"," ,E,0321, ","  25.3"," ,E,0910, ","","","","","","","","","","","","","","","","","","","","","","","    661.0"," ,E","","","","","",""
