"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ITM00016420","1958","38.2","15.55","51.0","MESSINA, IT","","","","","","","         0","S","         0","S","         0","S","       173","S","        13","S","    3.9","S,0313,+","","","   35.0","S,0820, ","     882.3","3","     882.3","S","","","     18.39","S","     21.20","S","     15.60","S"
"ITM00016420","1973","38.2","15.55","51.0","MESSINA, IT","       107","S","        59","S","         4","S","","","","","         0","S","       157","S","         6","S","","","  53.1"," ,S,0928, ","   38.0","S,0718, ","","","","","    621.8"," ,S","","","     21.24","S","",""
"ITM00016420","1977","38.2","15.55","51.0","MESSINA, IT","        88","S","        49","S","         5","S","","","","","","","","","","","","","  89.9"," ,S,1015, ","","","","","","","    662.1"," ,S","","","","","",""
"ITM00016420","1980","38.2","15.55","51.0","MESSINA, IT","","","","","","","","","","","         0","S","       147","S","         6","S","","","","","   33.0","S,0828,+","","","","","","","","","     21.15","S","",""
"ITM00016420","1981","38.2","15.55","51.0","MESSINA, IT","        99","S","        57","S","         6","S","","","","","","","","","","","","","  51.1"," ,S,0121, ","","","","","","","    761.9"," ,S","","","","","",""
"ITM00016420","2005","38.2","15.55","51.0","MESSINA, IT","       103","S","        74","S","         5","S","","","","","","","","","","","","","  63.0"," ,S,0915, ","","","","","","","    883.7"," ,S","","","","","",""
"ITM00016420","2006","38.2","15.55","51.0","MESSINA, IT","        94","S","        61","S","         5","S","","","","","","","","","","","","","  51.8"," ,S,0307, ","","","","","","","    796.1"," ,S","","","","","",""
"ITM00016420","2007","38.2","15.55","51.0","MESSINA, IT","       100","S","        65","S","        12","S","","","","","","","","","","","","","  63.0"," ,S,1020, ","","","","","","","   1052.4"," ,S","","","","","",""
"ITM00016420","2008","38.2","15.55","51.0","MESSINA, IT","        75","S","        47","S","         7","S","","","","","         0","S","       204","S","        41","S","","","  62.0"," ,S,1204, ","   37.8","S,0908, ","","","","","    666.5"," ,S","","","     23.17","S","",""
"ITM00016420","2009","38.2","15.55","51.0","MESSINA, IT","       123","S","        83","S","        11","S","","","","","","","","","","","","","  87.9"," ,S,0624, ","","","","","","","   1303.1"," ,S","","","","","",""
"ITM00016420","2010","38.2","15.55","51.0","MESSINA, IT","       112","S","        74","S","        12","S","","","","","","","","","","","","","  72.6"," ,S,0310, ","","","","","","","   1067.7"," ,S","","","","","",""
"ITM00016420","2011","38.2","15.55","51.0","MESSINA, IT","        93","S","        62","S","         7","S","","","","","         0","S","       184","S","        27","S","",""," 117.1"," ,S,0301, ","   36.0","S,0903, ","","","","","    878.0"," ,S","","","     22.87","S","",""
"ITM00016420","2012","38.2","15.55","51.0","MESSINA, IT","        90","S","        67","S","         8","S","","","","","","","","","","","","","  66.0"," ,S,1209, ","","","","","","","    879.2"," ,S","","","","","",""
"ITM00016420","2013","38.2","15.55","51.0","MESSINA, IT","       107","S","        70","S","        10","S","","","","","","","","","","","","","  58.9"," ,S,0916, ","","","","","","","    916.8"," ,S","","","","","",""
"ITM00016420","2014","38.2","15.55","51.0","MESSINA, IT","       127","S","        77","S","         9","S","","","","","","","","","","","","","  65.0"," ,S,0101, ","","","","","","","   1026.4"," ,S","","","","","",""
"ITM00016420","2015","38.2","15.55","51.0","MESSINA, IT","       112","S","        79","S","        11","S","","","","","","","","","","","",""," 113.0"," ,S,1101, ","","","","","","","   1250.9"," ,S","","","","","",""
"ITM00016420","2016","38.2","15.55","51.0","MESSINA, IT","       112","S","        80","S","        10","S","","","","","","","","","","","","","  87.9"," ,S,1125, ","","","","","","","   1089.5"," ,S","","","","","",""
"ITM00016420","2017","38.2","15.55","51.0","MESSINA, IT","       100","S","        62","S","         5","S","","","","","","","","","","","","","  65.0"," ,S,0123, ","","","","","","","    801.3"," ,S","","","","","",""
"ITM00016420","2018","38.2","15.55","51.0","MESSINA, IT","       129","S","        75","S","        15","S","","","","","","","","","","","","","  79.0"," ,S,0617,+","","","","","","","   1309.7"," ,S","","","","","",""
"ITM00016420","2019","38.2","15.55","51.0","MESSINA, IT","       110","S","        67","S","         9","S","","","","","","","","","","","","","  50.0"," ,S,1124, ","","","","","","","    827.2"," ,S","","","","","",""
"ITM00016420","2020","38.2","15.55","51.0","MESSINA, IT","        91","S","        64","S","         7","S","","","","","","","","","","","","","  61.0"," ,S,1203,+","","","","","","","    900.0"," ,S","","","","","",""
"ITM00016420","2022","38.2","15.55","51.0","MESSINA, IT","        92","S","        55","S","         4","S","","","","","","","","","","","","","  43.9"," ,S,1121,+","","","","","","","    679.1"," ,S","","","","","",""
"ITM00016420","2023","38.2","15.55","51.0","MESSINA, IT","       106","S","        57","S","         5","S","","","","","","","","","","","","","  74.9"," ,S,0403, ","","","","","","","    653.6"," ,S","","","","","",""
