"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES"
"USW00000225","2011","30.533","-98.367","333.1","HORSESHOE BAY RESORT AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","         8"," ","","","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00000225","2012","30.533","-98.367","333.1","HORSESHOE BAY RESORT AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","         7"," ","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00000225","2013","30.533","-98.367","333.1","HORSESHOE BAY RESORT AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","        10"," ","         3"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00000225","2014","30.533","-98.367","333.1","HORSESHOE BAY RESORT AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","        38"," ","         7"," ","        26"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00000225","2015","30.533","-98.367","333.1","HORSESHOE BAY RESORT AIRPORT, TX US","       2.1","W","   1677.9","","    1677.9","W","        80","W","        47","W","         8","W","         0","W","        25","W","         0","W","       274","W","       129","W","        72"," ","         6"," ","        52"," ","   -6.0","W,0108,+","  76.5"," ,W,1024, ","   40.6","W,0811,+","-1.0","W,1122","","","","","","","","","-5.5","W,0306","-5.5","W,0306","-5.5","W,0306","","","","","","","","","    737.4"," ,W","     20.17","W","     26.67","W","     13.66","W","       330","W","      11.2","W"
"USW00000225","2016","30.533","-98.367","333.1","HORSESHOE BAY RESORT AIRPORT, TX US","       2.1","W","   1627.9","","    1627.9","W","        75","W","        49","W","        11","W","         0","W","        27","W","         0","W","       293","W","       118","W","        73"," ","         4"," ","        55"," ","   -5.5","W,1219, ","  76.2"," ,W,1103, ","   38.3","W,0811,+","0.0","W,1120","-4.3","W,1218","-5.5","W,1219","","","","","-0.5","W,0226","-4.3","W,0204","","","","","","","     788.1","1","     788.1","W","    902.6"," ,W","     20.63","W","     27.06","W","     14.19","W","       330","W","      11.2","W"
"USW00000225","2017","30.533","-98.367","333.1","HORSESHOE BAY RESORT AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","        61"," ","         4"," ","        29"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00000225","2018","30.533","-98.367","333.1","HORSESHOE BAY RESORT AIRPORT, TX US","       2.3","W","   1730.7","","    1730.7","W","        83","W","        46","W","         9","W","         0","W","        34","W","         2","W","       266","W","       124","W","        61"," ","         7"," ","        48"," ","  -11.6","W,0117, ","  64.0"," ,W,0504, ","   42.8","W,0723, ","-2.1","W,1113","-3.8","W,1114","","","","","","","0.0","W,0314","-3.8","W,0208","-11.6","W,0117","-11.6","W,0117","-11.6","W,0117","","","","","    762.9"," ,W","     20.20","W","     26.67","W","     13.74","W","       330","W","      13.0","W"
"USW00000225","2019","30.533","-98.367","333.1","HORSESHOE BAY RESORT AIRPORT, TX US","       2.4","W","   1658.4","","    1658.4","W","        74","W","        30","W","         2","W","         0","W","        30","W","         0","W","       267","W","       135","W","        66"," ","         9"," ","        46"," ","   -6.0","W,1219,+","  36.3"," ,W,0624, ","   38.9","W,0816,+","-2.1","W,1031","-2.7","W,1101","-6.0","W,1218","","","","","-3.2","W,0306","-3.2","W,0306","","","","","","","    1093.3","3","    1093.3","W","    358.6"," ,W","     20.09","W","     26.42","W","     13.77","W","       170","W","      12.1","W"
"USW00000225","2020","30.533","-98.367","333.1","HORSESHOE BAY RESORT AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","        45"," ","         5"," ","        38"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
