"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00087261","2003","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US","","","","","        98","0","        70","0","        20","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 106.4"," ,0,0907, ","","","","","","","","","","","","","","","   1421.4"," ,0","        0"," ,0","","","","","",""
"USC00087261","2004","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","",""
"USC00087261","2005","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US","   1564.0","","    1564.0","0","       114","0","        75","0","        14","0","        0","","         0","0","         0","0","         0","0","         0","0","       290","0","        50","0","    1.1","0,0125,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  83.6"," ,0,0505, ","   36.7","0,0724, ","","","","","","","","","","","","","   1242.8"," ,0","        0"," ,0","     21.77","0","     26.16","0","     17.39","0"
"USC00087261","2006","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US","","","","","","","","","","","        0","","         0","0","","","","","         0","0","       304","0","        47","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","   37.2","0,0812, ","","","","","","","","","     334.0","0","     334.0","0","    781.2"," ,0","        0"," ,0","","","     26.95","0","",""
"USC00087261","2007","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US","   1769.8","","    1769.8","0","       121","0","        74","0","         6","0","","","         0","0","         0","0","         0","0","         0","0","       305","0","        53","0","    2.8","0,1218,+","","","     0"," ,0,1231,+","  89.4"," ,0,0920, ","   36.1","0,0713, ","","","","","","","","","","","","","    938.9"," ,0","        0"," ,0","     22.68","0","     27.04","0","     18.32","0"
"USC00087261","2008","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","     227.8","8","     227.8"," ","    868.2"," ,0","        0"," ,0","","","","","",""
"USC00087261","2010","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US","   1563.0","","    1563.0","0","        88","0","        50","0","         8","0","        0","","         0","0","         0","0","        17","0","         0","0","       279","0","        65","0","   -3.3","0,1216,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  61.0"," ,0,0607, ","   36.7","0,0906,+","-2.8","0,1214","-2.8","0,1214","-1.7","0,0115","-2.2","0,0111","","","","","    774.1"," ,0","        0"," ,0","     20.43","0","     25.78","0","     15.09","0"
"USC00087261","2011","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US","","","","","        89","7","        62","7","        12","7","","","","","","","","","         0","7","       329","7","        64","7","","","","","",""," 116.8"," ,7,1212, ","   36.7","7,0808,+","","","","","","","","","     487.8","8","     487.8","7","    955.3"," ,7","","","","","     27.38","7","",""
"USC00087261","2012","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US","   1637.0","","    1637.0","7","       117","7","        69","7","        11","7","","","","","         0","7","         3","7","         0","7","       325","7","        48","7","   -0.6","7,0213, ","","","","","  50.8"," ,7,0608,+","   35.0","7,0728,+","","","","","-0.6","7,0213","","","","","","","    959.6"," ,7","","","     22.09","7","     27.30","7","     16.88","7"
"USC00087261","2013","29.0361","-80.918","4.9","NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1109.8"," ,7","","","","","","","",""
