"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00057881","1964","39.68333","-105.5","3507.9","SQUAW MOUNTAIN, CO US","","","","","","","","","         3"," ","","","","","","","",""
"USC00057881","1965","39.68333","-105.5","3507.9","SQUAW MOUNTAIN, CO US","       110","0","        71","0","         4","0","        46","0","","","   279"," ,0,0605,+","  45.0"," ,0,0724, ","    712.6"," ,0","     4423"," ,0"
"USC00057881","1966","39.68333","-105.5","3507.9","SQUAW MOUNTAIN, CO US","        94","0","        54","0","         1","0","        26","0","        28"," ","   254"," ,0,0404, ","  28.7"," ,0,0804, ","    499.6"," ,0","     2667"," ,0"
"USC00057881","1967","39.68333","-105.5","3507.9","SQUAW MOUNTAIN, CO US","       138","0","        69","0","         2","0","        47","0","        20"," ","   445"," ,0,0414, ","  43.7"," ,0,0414, ","    659.5"," ,0","     4039"," ,0"
"USC00057881","1968","39.68333","-105.5","3507.9","SQUAW MOUNTAIN, CO US","       114","0","        57","0","         0","0","        48","0","        21"," ","   254"," ,0,1126, ","  21.6"," ,0,0810, ","    482.1"," ,0","     4101"," ,0"
"USC00057881","1969","39.68333","-105.5","3507.9","SQUAW MOUNTAIN, CO US","       134","0","        77","0","         5","0","        47","0","        17"," ","   686"," ,0,0507, ","  76.2"," ,0,0507, ","    781.2"," ,0","     6531"," ,0"
"USC00057881","1970","39.68333","-105.5","3507.9","SQUAW MOUNTAIN, CO US","       105","0","        63","0","         4","0","        48","0","","","   470"," ,0,0922, ","  38.1"," ,0,0922, ","    626.7"," ,0","     5686"," ,0"
"USC00057881","1971","39.68333","-105.5","3507.9","SQUAW MOUNTAIN, CO US","       107","0","        62","0","         0","0","        51","0","         6"," ","   330"," ,0,0220, ","  23.9"," ,0,0423, ","    560.0"," ,0","     4862"," ,0"
"USC00057881","1972","39.68333","-105.5","3507.9","SQUAW MOUNTAIN, CO US","","","","","","","","","         4"," ","","","","","","","",""
"USC00057881","1974","39.68333","-105.5","3507.9","SQUAW MOUNTAIN, CO US","       101","0","        58","0","         4","0","","","","","","","  43.9"," ,0,0414, ","    581.4"," ,0","",""
"USC00057881","1975","39.68333","-105.5","3507.9","SQUAW MOUNTAIN, CO US","        98","0","        59","0","         3","0","        52","0","","","   356"," ,0,1109,+","  40.1"," ,0,0610, ","    591.0"," ,0","     5674"," ,0"
"USC00057881","1977","39.68333","-105.5","3507.9","SQUAW MOUNTAIN, CO US","       116","0","        60","0","         2","0","        42","0","        32"," ","   762"," ,0,0310, ","  54.4"," ,0,0310, ","    600.7"," ,0","     4804"," ,0"
"USC00057881","1978","39.68333","-105.5","3507.9","SQUAW MOUNTAIN, CO US","","","","","","","","","         1"," ","","","","","","","",""
"USC00057881","1979","39.68333","-105.5","3507.9","SQUAW MOUNTAIN, CO US","","","","","","","","","         8"," ","","","","","","","",""
"USC00057881","1980","39.68333","-105.5","3507.9","SQUAW MOUNTAIN, CO US","        97","0","        64","0","         3","0","        59","0","         3"," ","   432"," ,0,0424, ","  53.1"," ,0,0424, ","    743.5"," ,0","     6728"," ,0"
"USC00057881","1981","39.68333","-105.5","3507.9","SQUAW MOUNTAIN, CO US","","","","","","","","","         7"," ","","","","","","","",""
