"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00265718","1985","40.95","-114.51667","1737.4","OASIS 5 S, NV US","","","","","","","","","","","","","","","","","","","         8"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00265718","1986","40.95","-114.51667","1737.4","OASIS 5 S, NV US","    152.1","","     152.1","0","       29","","         3","0","         3","0","       202","0","         9","0","       124","0","        24","0","         9"," ","        32"," ","  -21.1","0,0209, ","   152"," ,0,0316, ","   152"," ,0,0316, ","   35.6","0,0703,+","0.0","0,0911","-2.8","0,0922","-7.8","0,0928","-7.8","0,0928","-10.0","0,1109","-0.6","0,0524","-2.8","0,0523","-5.0","0,0517","-7.8","0,0414","-11.1","0,0212","      313"," ,0","      8.04","0","     16.44","0","     -0.35","0"
"USC00265718","1987","40.95","-114.51667","1737.4","OASIS 5 S, NV US","","","","","","","","","","","","","","","","","","","         7"," ","         4"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
