"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00080611","1925","26.69278","-80.67111","6.1","BELLE GLADE, FL US","   1578.9","","    1578.9","0","       149","0","        98","0","        12","0","","","","","         0","0","         0","0","         0","0","       345","0","        83","0","","","    0.6","0,1124,+","","","","","  68.8"," ,0,0418, ","   35.0","0,0821,+","","","","","","","","","","","","","","","     151.3","3","     151.3","0","","","","","   1363.9"," ,0","","","     22.06","0","     28.49","0","     15.64","0","",""
"USC00080611","1926","26.69278","-80.67111","6.1","BELLE GLADE, FL US","   1678.8","","    1678.8","0","       122","0","        91","0","        16","0","","","","","         0","0","         5","0","         0","0","       337","0","        81","0","","","   -3.9","0,0115, ","","","","","  81.3"," ,0,0917, ","   35.6","0,0916, ","","","-0.6","0,1231","","","","","-0.6","0,0315","-3.9","0,0115","","","     338.6","6","     338.6","0","","","","","   1573.4"," ,0","","","     22.10","0","     28.19","0","     16.01","0","",""
"USC00080611","1927","26.69278","-80.67111","6.1","BELLE GLADE, FL US","   1646.2","","    1646.2","0","       119","0","        72","0","        21","0","","","","","         0","0","         8","0","         0","0","       341","0","       114","0","","","   -3.3","0,0112, ","","","","","  89.2"," ,0,0727, ","   36.1","0,0616, ","","","-1.7","0,1221","","","","","-0.6","0,0304","-3.3","0,0112","","","     201.8","8","     201.8","0","","","","","   1374.7"," ,0","","","     22.14","0","     28.81","0","     15.47","0","",""
"USC00080611","1930","26.69278","-80.67111","6.1","BELLE GLADE, FL US","   1526.1","","    1526.1","0","       129","0","        83","0","        19","0","","","","","         0","0","         2","0","         0","0","       340","0","        62","0","","","   -2.2","0,1210, ","","","","","  96.5"," ,0,0603, ","   35.6","0,0811, ","","","-2.2","0,1210","-2.2","0,1210","","","-1.1","0,0305","","","","","     218.3","3","     218.3","0","","","","","   1602.1"," ,0","","","     21.74","0","     27.49","0","     15.98","0","",""
"USC00080611","1931","26.69278","-80.67111","6.1","BELLE GLADE, FL US","   1607.8","","    1607.8","0","       122","0","        68","0","        12","0","","","","","         0","0","         4","0","         0","0","       333","0","       109","0","","","   -1.7","0,0107, ","","","","","  53.8"," ,0,0415, ","   37.8","0,0721,+","","","","","","","","","-1.1","0,0312","","","","","     461.6","6","     461.6","0","","","","","   1081.5"," ,0","","","     21.86","0","     28.37","0","     15.35","0","",""
"USC00080611","1932","26.69278","-80.67111","6.1","BELLE GLADE, FL US","   1585.9","","    1585.9","0","       121","0","        67","0","        16","0","","","","","         0","0","         1","0","         0","0","       347","0","        58","0","","","    0.0","0,0314, ","","","",""," 276.9"," ,0,1107, ","   35.6","0,0819,+","","","","","","","","","0.0","0,0314","","","","","      81.7","7","      81.7","0","","","","","   1653.5"," ,0","","","     22.32","0","     28.34","0","     16.30","0","",""
"USC00080611","1933","26.69278","-80.67111","6.1","BELLE GLADE, FL US","   1650.7","","    1650.7","0","       126","0","        85","0","        21","0","","","","","         0","0","         0","0","         0","0","       348","0","        59","0","","","    1.1","0,0304,+","","","",""," 106.9"," ,0,0905, ","   34.4","0,0718,+","","","","","","","","","","","","","","","     157.2","2","     157.2","0","","","","","   1657.5"," ,0","","","     22.41","0","     28.30","0","     16.51","0","",""
"USC00080611","1934","26.69278","-80.67111","6.1","BELLE GLADE, FL US","   1634.2","","    1634.2","0","       141","0","        86","0","        20","0","","","","","         0","0","         2","0","         0","0","       345","0","        61","0","","","   -3.9","0,1213, ","","","",""," 112.8"," ,0,0329, ","   33.9","0,0909,+","","","-1.1","0,1212","-3.9","0,1213","","","","","","","","","     212.7","7","     212.7","0","","","","","   1581.2"," ,0","","","     22.17","0","     28.24","0","     16.09","0","",""
"USC00080611","1935","26.69278","-80.67111","6.1","BELLE GLADE, FL US","   1671.0","","    1671.0","0","       119","0","        71","0","        15","0","","","","","         0","0","         4","0","         0","0","       334","0","        99","0","","","   -1.1","0,1227,+","","","","","  97.5"," ,0,0625, ","   35.0","0,0806,+","","","-1.1","0,1221","","","","","-0.6","0,0205","","","","","     247.0","0","     247.0","0","","","","","   1240.4"," ,0","","","     22.00","0","     28.48","0","     15.52","0","",""
"USC00080611","1936","26.69278","-80.67111","6.1","BELLE GLADE, FL US","   1723.5","","    1723.5","0","       136","0","        89","0","        20","0","","","","","         0","0","         0","0","         0","0","       347","0","        75","0","","","    1.1","0,1128, ","","","",""," 166.4"," ,0,0615, ","   34.4","0,0727,+","","","","","","","","","","","","","","","     312.8","8","     312.8","0","","","","","   1640.6"," ,0","","","     22.47","0","     28.24","0","     16.71","0","",""
