"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SBM00071805","1979","46.763","-56.176","8.2","ST PIERRE, SB","","","","","","","         0","S","       114","S","  -15.0","S,0218,+","","","-1.0","S,1102","-5.0","S,1121","-5.0","S,1121","-11.0","S,1211","-11.0","S,1211","0.0","S,0520","-4.0","S,0330","-6.0","S,0319","-12.0","S,0314","-12.0","S,0314","","","      3.03","S"
"SBM00071805","2008","46.763","-56.176","8.2","ST PIERRE, SB","       235","S","        97","S","        10","S","","","","","","","  47.8"," ,S,0215, ","","","","","","","","","","","","","","","","","","","","","   1254.4"," ,S","",""
"SBM00071805","2009","46.763","-56.176","8.2","ST PIERRE, SB","       201","S","        86","S","         9","S","","","","","","","  53.1"," ,S,0919, ","","","","","","","","","","","","","","","","","","","","","   1106.0"," ,S","",""
"SBM00071805","2010","46.763","-56.176","8.2","ST PIERRE, SB","       189","S","        79","S","         6","S","","","","","","","  97.8"," ,S,0922, ","","","","","","","","","","","","","","","","","","","","","   1004.9"," ,S","",""
"SBM00071805","2011","46.763","-56.176","8.2","ST PIERRE, SB","       202","S","       108","S","        10","S","","","","","","","  58.7"," ,S,0917, ","","","","","","","","","","","","","","","","","","","","","   1218.5"," ,S","",""
"SBM00071805","2012","46.763","-56.176","8.2","ST PIERRE, SB","       204","S","        82","S","         7","S","","","","","","","  45.0"," ,S,0912, ","","","","","","","","","","","","","","","","","","","","","   1077.3"," ,S","",""
"SBM00071805","2013","46.763","-56.176","8.2","ST PIERRE, SB","       189","S","        86","S","         9","S","","","","","","","  80.0"," ,S,0811, ","","","","","","","","","","","","","","","","","","","","","   1068.8"," ,S","",""
"SBM00071805","2014","46.763","-56.176","8.2","ST PIERRE, SB","       211","S","        94","S","         6","S","","","","","","","  40.1"," ,S,0726, ","","","","","","","","","","","","","","","","","","","","","   1175.4"," ,S","",""
"SBM00071805","2015","46.763","-56.176","8.2","ST PIERRE, SB","       208","S","        96","S","         2","S","","","","","","","  33.8"," ,S,0513, ","","","","","","","","","","","","","","","","","","","","","    957.4"," ,S","",""
"SBM00071805","2016","46.763","-56.176","8.2","ST PIERRE, SB","       206","S","       100","S","        12","S","","","","","","","  47.8"," ,S,0930, ","","","","","","","","","","","","","","","","","","","","","   1223.4"," ,S","",""
"SBM00071805","2017","46.763","-56.176","8.2","ST PIERRE, SB","       201","S","        96","S","         5","S","","","","","","","  38.4"," ,S,0929, ","","","","","","","","","","","","","","","","","","","","","   1132.2"," ,S","",""
"SBM00071805","2018","46.763","-56.176","8.2","ST PIERRE, SB","       204","S","        99","S","         9","S","","","","","","","  91.2"," ,S,0807, ","","","","","","","","","","","","","","","","","","","","","   1338.2"," ,S","",""
"SBM00071805","2019","46.763","-56.176","8.2","ST PIERRE, SB","       199","S","        93","S","         9","S","","","","","","","  54.9"," ,S,0926, ","","","","","","","","","","","","","","","","","","","","","   1208.4"," ,S","",""
"SBM00071805","2020","46.763","-56.176","8.2","ST PIERRE, SB","       178","S","        92","S","         7","S","","","","","","","  82.3"," ,S,0919, ","","","","","","","","","","","","","","","","","","","","","   1203.6"," ,S","",""
"SBM00071805","2021","46.763","-56.176","8.2","ST PIERRE, SB","       171","S","        85","S","         4","S","","","","","","","  44.5"," ,S,1019, ","","","","","","","","","","","","","","","","","","","","","    972.4"," ,S","",""
"SBM00071805","2022","46.763","-56.176","8.2","ST PIERRE, SB","       203","S","        95","S","        15","S","","","","","","","  77.0"," ,S,1017, ","","","","","","","","","","","","","","","","","","","","","   1355.9"," ,S","",""
"SBM00071805","2023","46.763","-56.176","8.2","ST PIERRE, SB","       197","S","        83","S","        11","S","","","","","","","  46.2"," ,S,1014, ","","","","","","","","","","","","","","","","","","","","","   1070.7"," ,S","",""
"SBM00071805","2024","46.763","-56.176","8.2","ST PIERRE, SB","       216","S","        97","S","        10","S","","","","","","","  49.5"," ,S,0814, ","","","","","","","","","","","","","","","","","","","","","   1217.6"," ,S","",""
