"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00116753","1963","41.34961","-89.10738","193.2","PERU, IL US","","","","","","","","","","","","","","","","","","","","","","","","","         7"," ","        12"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00116753","1964","41.34961","-89.10738","193.2","PERU, IL US","    612.5","","     612.5","0","       103","0","        52","0","         5","0","       24","","        11","0","         4","0","       139","0","        38","0","       165","0","        40","0","","","        42"," ","  -21.1","0,0101, ","   229"," ,0,1204, ","   130"," ,0,1204, ","  46.5"," ,0,0420, ","   36.1","0,0803,+","-1.1","0,1006","-3.9","0,1010","-5.6","0,1119","-11.7","0,1120","-11.7","0,1120","-2.2","0,0409","-2.2","0,0409","-8.9","0,0330","-8.9","0,0330","-8.9","0,0330","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    668.1"," ,0","      682"," ,0","     10.83","0","     16.81","0","      4.84","0"
"USC00116753","1965","41.34961","-89.10738","193.2","PERU, IL US","    474.1","","     474.1","0","       122","0","        72","0","        12","0","       37","","        12","0","        11","0","       130","0","        40","0","       151","0","        16","0","","","        32"," ","  -23.3","0,0202,+","   152"," ,0,0225,+","   168"," ,0,0304, ","  74.9"," ,0,1224, ","   36.7","0,0723, ","-0.6","0,1028","-3.3","0,1029","-5.6","0,1114","-6.7","0,1128","-10.0","0,1130","0.0","0,0403","-2.2","0,0331","-5.6","0,0328","-13.9","0,0327","-13.9","0,0327","    3616.7","7","","","","","    3616.7","0","","","","","","","","","","","","","","","","","","","","","   1090.0"," ,0","      903"," ,0","     10.19","0","     15.79","0","      4.59","0"
"USC00116753","1966","41.34961","-89.10738","193.2","PERU, IL US","    496.9","","     496.9","0","        92","0","        62","0","         5","0","       17","","         2","0","         7","0","       135","0","        50","0","       147","0","        33","0","","","        27"," ","  -26.1","0,0129, ","   203"," ,0,1227, ","   203"," ,0,1227, ","  75.7"," ,0,0511, ","   38.3","0,0710, ","-0.6","0,1006","-3.3","0,1025","-4.4","0,1101","-11.7","0,1201","-11.7","0,1201","-2.8","0,0510","-2.8","0,0510","-4.4","0,0331","-7.8","0,0325","-8.9","0,0226","    3384.2","2","","","","","    3384.2","0","","","","","","","","","","","","","","","","","","","","","    823.0"," ,0","      241"," ,0","      9.89","0","     15.60","0","      4.16","0"
"USC00116753","1967","41.34961","-89.10738","193.2","PERU, IL US","    289.2","","     289.2","0","       116","0","        70","0","         9","0","       33","","        11","0","         7","0","       147","0","        52","0","       137","0","         7","0","","","        34"," ","  -25.6","0,1231, ","   457"," ,0,0127, ","   254"," ,0,0126, ","  58.2"," ,0,1015, ","   33.3","0,0525, ","-1.1","0,0929","-2.2","0,1012","-6.1","0,1104","-6.7","0,1106","-10.0","0,1128","0.0","0,0503","-6.1","0,0424","-6.1","0,0424","-6.7","0,0319","-13.3","0,0318","    3510.9","9","","","","","    3510.9","0","","","","","","","","","","","","","","","","","","","","","    861.0"," ,0","      978"," ,0","      8.49","0","     14.12","0","      2.86","0"
"USC00116753","1968","41.34961","-89.10738","193.2","PERU, IL US","    412.3","","     412.3","0","        97","0","        65","0","         9","0","       24","","         5","0","        15","0","       144","0","        46","0","       144","0","        21","0","","","        37"," ","  -26.1","0,0101, ","   127"," ,0,0114, ","   152"," ,0,0114, ","  67.1"," ,0,0717, ","   35.6","0,0822,+","-1.1","0,1005","-3.9","0,1025","-5.0","0,1110","-7.8","0,1113","-11.7","0,1207","0.0","0,0506","-3.3","0,0406","-5.0","0,0401","-6.7","0,0323","-10.0","0,0313","    3841.1","1","","","","","    3841.1","0","","","","","","","","","","","","","","","","","","","","","    783.0"," ,0","      352"," ,0","      9.18","0","     15.26","0","      3.09","0"
"USC00116753","1969","41.34961","-89.10738","193.2","PERU, IL US","    395.2","","     395.2","0","        96","0","        59","0","         5","0","       32","","         8","0","        11","0","       162","0","        61","0","       141","0","         6","0","","","        20"," ","  -25.0","0,0104, ","   127"," ,0,0107,+","   102"," ,0,1223,+","  99.6"," ,0,1010, ","   34.4","0,0716, ","-0.6","0,1015","-2.2","0,1022","-4.4","0,1023","-7.2","0,1114","-9.4","0,1116","0.0","0,0510","-2.2","0,0424","-12.8","0,0331","-12.8","0,0331","-12.8","0,0331","    3842.0","0","","","","","    3842.0","0","","","","","","","","","","","","","","","","","","","","","    891.2"," ,0","      470"," ,0","      8.47","0","     14.24","0","      2.71","0"
"USC00116753","1970","41.34961","-89.10738","193.2","PERU, IL US","    422.3","","     422.3","0","       105","0","        89","0","        17","0","       42","","        16","0","        15","0","       139","0","        52","0","       149","0","        15","0","","","        42"," ","  -28.3","0,0121, ","   203"," ,0,0122, ","   178"," ,0,0325, ","  64.8"," ,0,0729, ","   37.2","0,0701, ","0.0","0,1010","-3.3","0,1016","-4.4","0,1115","-6.7","0,1117","-12.2","0,1122","-1.1","0,0506","-2.2","0,0410","-5.6","0,0331","-6.7","0,0330","-11.1","0,0329","    3950.4","4","","","","","    3950.4","0","","","","","","","","","","","","","","","","","","","","","   1443.0"," ,0","     1025"," ,0","      9.19","0","     15.05","0","      3.34","0"
"USC00116753","1971","41.34961","-89.10738","193.2","PERU, IL US","","","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00116753","1972","41.34961","-89.10738","193.2","PERU, IL US","    490.3","","     490.3","0","       123","0","        76","0","        15","0","       70","","        14","0","        20","0","       144","0","        37","0","       156","0","        24","0","","","        25"," ","  -28.3","0,0115, ","   203"," ,0,0210, ","   203"," ,0,0329, ","  63.0"," ,0,0615, ","   34.4","0,0721,+","-0.6","0,1009","-3.3","0,1015","-8.9","0,1019","-8.9","0,1019","-8.9","0,1019","-2.8","0,0426","-2.8","0,0426","-10.6","0,0408","-10.6","0,0408","-10.6","0,0408","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1209.0"," ,0","      839"," ,0","      9.37","0","     15.34","0","      3.39","0"
