"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087909","1996","-49.307","-67.803","57.9","SAN JULIAN, AR","","","","","","","         0","S","        53","S","   -9.3","S,0705, ","","","-0.8","S,0131","-2.3","S,0614","-9.3","S,0705","-9.3","S,0705","-9.3","S,0705","-1.8","S,1010","-3.0","S,1009","-5.2","S,0825","","","","","      4.50","S"
"ARM00087909","1997","-49.307","-67.803","57.9","SAN JULIAN, AR","","","","","","","         0","S","        83","S","  -11.8","S,0706, ","","","-0.1","S,0404","-3.4","S,0520","-5.3","S,0526","-11.6","S,0705","-11.6","S,0705","-0.8","S,1102","-4.3","S,1011","-6.0","S,0803","","","","","      3.85","S"
"ARM00087909","1998","-49.307","-67.803","57.9","SAN JULIAN, AR","","","","","","","         0","S","        36","S","   -7.8","S,0616, ","","","-2.8","S,0422","-2.8","S,0422","-4.4","S,0423","-7.8","S,0616","","","0.0","S,1013","-3.8","S,0918","","","","","","","      5.31","S"
"ARM00087909","1999","-49.307","-67.803","57.9","SAN JULIAN, AR","","","","","","","         0","S","        78","S","  -10.4","S,0617, ","","","-0.6","S,0423","-3.0","S,0517","-4.8","S,0605","-10.4","S,0617","-10.4","S,0617","-1.0","S,1003","-3.1","S,0910","-4.8","S,0807","","","","","      4.45","S"
"ARM00087909","2000","-49.307","-67.803","57.9","SAN JULIAN, AR","","","","","","","         0","S","        67","S","   -8.8","S,0620, ","","","-1.8","S,0430","-2.3","S,0610","-5.6","S,0614","-8.8","S,0620","","","-1.3","S,1014","-3.8","S,0921","-4.8","S,0914","","","","","      3.82","S"
"ARM00087909","2003","-49.307","-67.803","57.9","SAN JULIAN, AR","","","","","","","         0","S","        52","S","   -5.3","S,1006, ","","","-2.3","S,0512","-2.3","S,0512","-5.1","S,0625","","","","","0.0","S,1026","-2.8","S,1010","-5.3","S,1006","","","","","      4.65","S"
"ARM00087909","2004","-49.307","-67.803","57.9","SAN JULIAN, AR","        57","S","        17","S","         0","S","         0","S","        60","S","   -5.3","S,0710, ","  13.0"," ,S,0101, ","-0.3","S,0420","-3.4","S,0502","-4.8","S,0629","","","","","-0.1","S,1018","-2.6","S,0826","","","","","    112.1"," ,S","      4.90","S"
"ARM00087909","2005","-49.307","-67.803","57.9","SAN JULIAN, AR","","","","","","","         0","S","        81","S","   -9.1","S,0612, ","","","-1.4","S,0419","-3.3","S,0424","-5.6","S,0521","-9.1","S,0612","-9.1","S,0612","-0.4","S,1206","-3.7","S,0821","-4.8","S,0820","","","","","      4.27","S"
"ARM00087909","2010","-49.307","-67.803","57.9","SAN JULIAN, AR","","","","","","","         0","S","        54","S","  -11.0","S,0706, ","","","-1.8","S,0421","-4.0","S,0423","-5.8","S,0620","-8.8","S,0621","-11.0","S,0706","-0.2","S,0916","-2.3","S,0901","-5.1","S,0803","-6.8","S,0801","","","      4.17","S"
"ARM00087909","2012","-49.307","-67.803","57.9","SAN JULIAN, AR","","","","","","","         0","S","        78","S","   -7.8","S,0707, ","","","-1.8","S,0224","-3.4","S,0427","-6.2","S,0530","-7.4","S,0601","","","-0.2","S,1109","-2.4","S,1009","-4.8","S,0824","","","","","      3.82","S"
"ARM00087909","2015","-49.307","-67.803","57.9","SAN JULIAN, AR","","","","","","","         0","S","        76","S","   -5.9","S,0819, ","","","-0.9","S,0405","-2.9","S,0611","-4.9","S,0702","","","","","-0.4","S,1119","-2.4","S,1022","-4.7","S,0915","","","","","      4.30","S"
"ARM00087909","2016","-49.307","-67.803","57.9","SAN JULIAN, AR","","","","","","","         0","S","        75","S","   -6.9","S,0731, ","","","-0.1","S,0408","-3.4","S,0429","-4.4","S,0506","-6.9","S,0731","","","-1.4","S,1018","-2.4","S,1015","-4.9","S,0820","","","","","      4.21","S"
