"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00020088","1941","32.45","-112.83333","435.9","AJO WELL, AZ US","        38","6","        28","6","         3","6","","","","","         2"," ","","","","","  34.8"," ,6,1211, ","    328.4"," ,6","",""
"USC00020088","1942","32.45","-112.83333","435.9","AJO WELL, AZ US","        20","6","        13","6","         2","6","","","","","","","","","","","  36.6"," ,6,0809, ","    140.4"," ,6","",""
"USC00020088","1943","32.45","-112.83333","435.9","AJO WELL, AZ US","        18","6","        13","6","         3","6","","","","","","","","","","","  55.4"," ,6,0801, ","    211.2"," ,6","",""
"USC00020088","1944","32.45","-112.83333","435.9","AJO WELL, AZ US","        39","6","        28","6","         2","6","","","","","","","","","","","  27.4"," ,6,0225, ","    229.7"," ,6","",""
"USC00020088","1945","32.45","-112.83333","435.9","AJO WELL, AZ US","        23","6","        15","6","         2","6","","","","","","","","","","","  36.8"," ,6,0708, ","    200.8"," ,6","",""
"USC00020088","1946","32.45","-112.83333","435.9","AJO WELL, AZ US","        32","6","        22","6","         1","6","","","","","","","","","","","  89.4"," ,6,0918, ","    342.4"," ,6","",""
"USC00020088","1947","32.45","-112.83333","435.9","AJO WELL, AZ US","        24","6","        16","6","         1","6","","","","","","","","","","","  28.4"," ,6,0809, ","    161.0"," ,6","",""
"USC00020088","1948","32.45","-112.83333","435.9","AJO WELL, AZ US","        18","0","        13","0","         2","0","","","","","","","","","","","  32.5"," ,0,1018, ","    163.9"," ,0","",""
"USC00020088","1949","32.45","-112.83333","435.9","AJO WELL, AZ US","        26","0","        17","0","         2","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  29.2"," ,0,0125, ","    198.4"," ,0","        0"," ,0"
"USC00020088","1950","32.45","-112.83333","435.9","AJO WELL, AZ US","        15","0","         7","0","         1","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  25.9"," ,0,0707, ","     90.2"," ,0","        0"," ,0"
"USC00020088","1951","32.45","-112.83333","435.9","AJO WELL, AZ US","        29","0","        19","0","         2","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  73.7"," ,0,0828, ","    260.5"," ,0","        0"," ,0"
"USC00020088","1952","32.45","-112.83333","435.9","AJO WELL, AZ US","        25","0","        15","0","         0","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  21.8"," ,0,0309, ","    175.4"," ,0","        0"," ,0"
"USC00020088","1953","32.45","-112.83333","435.9","AJO WELL, AZ US","        18","0","        14","0","         0","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  21.6"," ,0,0711, ","    144.4"," ,0","        0"," ,0"
"USC00020088","1954","32.45","-112.83333","435.9","AJO WELL, AZ US","        22","0","        10","0","         1","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  39.6"," ,0,0724, ","    124.3"," ,0","        0"," ,0"
"USC00020088","1955","32.45","-112.83333","435.9","AJO WELL, AZ US","        36","0","        23","0","         2","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  35.3"," ,0,0818, ","    223.9"," ,0","        0"," ,0"
"USC00020088","1956","32.45","-112.83333","435.9","AJO WELL, AZ US","        14","0","         8","0","         0","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  16.0"," ,0,0714, ","     51.5"," ,0","        0"," ,0"
"USC00020088","1957","32.45","-112.83333","435.9","AJO WELL, AZ US","        32","0","        14","0","         0","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  22.6"," ,0,1031, ","    170.6"," ,0","        0"," ,0"
"USC00020088","1958","32.45","-112.83333","435.9","AJO WELL, AZ US","        30","0","        22","0","         2","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  58.7"," ,0,0905, ","    275.3"," ,0","        0"," ,0"
"USC00020088","1959","32.45","-112.83333","435.9","AJO WELL, AZ US","        31","0","        21","0","         0","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  21.3"," ,0,1209, ","    222.2"," ,0","        0"," ,0"
"USC00020088","1960","32.45","-112.83333","435.9","AJO WELL, AZ US","        25","0","        18","0","         1","0","        0","","         1","0","","","     0","T,0,1209, ","    25"," ,0,1209, ","  38.9"," ,0,0810, ","    181.2"," ,0","       25"," ,0"
"USC00020088","1961","32.45","-112.83333","435.9","AJO WELL, AZ US","        25","0","        14","0","         2","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  39.9"," ,0,0804, ","    196.6"," ,0","        0"," ,0"
"USC00020088","1962","32.45","-112.83333","435.9","AJO WELL, AZ US","        31","0","        20","0","         0","0","        0","","         0","0","","","     0"," ,0,1231,+","     0","T,0,0309, ","  24.9"," ,0,0122, ","    176.4"," ,0","        0","T,0"
"USC00020088","1963","32.45","-112.83333","435.9","AJO WELL, AZ US","        22","0","        17","0","         0","0","        0","","         0","0","","","     0"," ,0,1231,+","     0","T,0,1107, ","  17.3"," ,0,1019, ","    145.1"," ,0","        0","T,0"
"USC00020088","1964","32.45","-112.83333","435.9","AJO WELL, AZ US","        29","0","        16","0","         1","0","        0","","         0","0","","","     0"," ,0,1231,+","     0","T,0,1116, ","  41.1"," ,0,0801, ","    186.3"," ,0","        0","T,0"
"USC00020088","1965","32.45","-112.83333","435.9","AJO WELL, AZ US","        38","0","        24","0","         2","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  38.4"," ,0,0812, ","    275.8"," ,0","        0"," ,0"
"USC00020088","1966","32.45","-112.83333","435.9","AJO WELL, AZ US","        33","0","        17","0","         0","0","        0","","         0","0","","","     0"," ,0,1231,+","     0","T,0,1231, ","  24.6"," ,0,0208, ","    152.3"," ,0","        0","T,0"
"USC00020088","1967","32.45","-112.83333","435.9","AJO WELL, AZ US","        39","0","        24","0","         1","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  53.1"," ,0,0819, ","    308.3"," ,0","        0"," ,0"
"USC00020088","1968","32.45","-112.83333","435.9","AJO WELL, AZ US","        26","0","        14","0","         2","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  35.1"," ,0,0805, ","    224.9"," ,0","        0"," ,0"
"USC00020088","1969","32.45","-112.83333","435.9","AJO WELL, AZ US","        30","0","        18","0","         2","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  30.0"," ,0,0830, ","    209.6"," ,0","        0"," ,0"
"USC00020088","1970","32.45","-112.83333","435.9","AJO WELL, AZ US","        23","0","        16","0","         0","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  18.8"," ,0,0811, ","    151.1"," ,0","        0"," ,0"
"USC00020088","1971","32.45","-112.83333","435.9","AJO WELL, AZ US","        20","0","         9","0","         1","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  68.8"," ,0,0820, ","    173.8"," ,0","        0"," ,0"
"USC00020088","1972","32.45","-112.83333","435.9","AJO WELL, AZ US","        23","0","        14","0","         3","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  32.0"," ,0,1007, ","    197.1"," ,0","        0"," ,0"
"USC00020088","1973","32.45","-112.83333","435.9","AJO WELL, AZ US","        30","0","        13","0","         0","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  24.6"," ,0,0820, ","    150.6"," ,0","        0"," ,0"
"USC00020088","1974","32.45","-112.83333","435.9","AJO WELL, AZ US","        24","0","        19","0","         4","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  52.3"," ,0,0707, ","    251.4"," ,0","        0"," ,0"
