"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00027403","1958","31.96667","-110.96667","819.9","SAHUARITA 2 NW, AZ US","","","","","        37","0","        25","0","         1","0","","","         1","0","","","","","","","","","","","","","","","","","   152"," ,0,1116, ","  35.1"," ,0,0729, ","","","","","","","","","","","","","","","","","","","","","","","","","    275.6"," ,0","      152"," ,0","","","","","",""
"USC00027403","1959","31.96667","-110.96667","819.9","SAHUARITA 2 NW, AZ US","   1469.6","","    1469.6","0","        35","0","        20","0","         0","0","        0","","         0","0","         0","0","        64","0","         0","0","       287","0","       155","0","","","   -7.8","0,1128, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  17.5"," ,0,0717, ","   43.9","0,0624,+","0.0","0,1030","-2.2","0,1107","-6.7","0,1127","-6.7","0,1127","0.0","0,0317","-3.3","0,0316","-5.6","0,0305","","","","","","","","","    203.9"," ,0","        0"," ,0","     19.27","0","     29.00","0","      9.55","0"
"USC00027403","1960","31.96667","-110.96667","819.9","SAHUARITA 2 NW, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1248.8","8","    1248.8","0","","","","","","","","","",""
"USC00027403","1961","31.96667","-110.96667","819.9","SAHUARITA 2 NW, AZ US","","","","","        43","0","        30","0","         1","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  25.4"," ,0,0829, ","","","","","","","","","","","","","","","","","","","","","","","","","    262.5"," ,0","        0"," ,0","","","","","",""
"USC00027403","1962","31.96667","-110.96667","819.9","SAHUARITA 2 NW, AZ US","   1399.0","","    1399.0","0","        34","0","        19","0","         1","0","        0","","         0","0","         0","0","        43","0","         0","0","       298","0","       172","0","         7"," ","  -12.2","0,0115,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  32.5"," ,0,0822, ","   43.3","0,0811, ","-2.2","0,1119","-2.2","0,1119","","","","","-0.6","0,0322","-4.4","0,0313","-4.4","0,0313","-12.2","0,0115","-12.2","0,0115","","","","","    193.3"," ,0","        0"," ,0","     19.42","0","     29.63","0","      9.21","0"
"USC00027403","1964","31.96667","-110.96667","819.9","SAHUARITA 2 NW, AZ US","   1256.1","","    1256.1","0","        34","0","        28","0","         6","0","        1","","         1","0","         0","0","       104","0","         0","0","       292","0","       154","0","","","  -11.1","0,0112, ","   127"," ,0,0303, ","   114"," ,0,0303, ","  50.0"," ,0,0910, ","   42.2","0,0705,+","-0.6","0,1105","-3.3","0,1117","-4.4","0,1206","-8.3","0,1214","-1.1","0,0405","-2.2","0,0310","-5.0","0,0309","-6.7","0,0222","-8.9","0,0215","","","","","    420.3"," ,0","      114"," ,0","     18.03","0","     28.50","0","      7.56","0"
"USC00027403","1965","31.96667","-110.96667","819.9","SAHUARITA 2 NW, AZ US","","","","","        40","0","        28","0","         3","0","        0","","         1","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","   102"," ,0,0210, ","  42.4"," ,0,1210, ","","","","","","","","","","","","","","","","","","","","","    1185.2","2","    1185.2","0","    308.8"," ,0","      102"," ,0","","","","","",""
"USC00027403","1966","31.96667","-110.96667","819.9","SAHUARITA 2 NW, AZ US","","","","","        37","0","        23","0","         2","0","","","","","","","","","","","","","","","","","","","","","","","  55.4"," ,0,0719, ","","","","","","","","","","","","","","","","","","","","","","","","","    339.9"," ,0","","","","","","","",""
"USC00027403","1967","31.96667","-110.96667","819.9","SAHUARITA 2 NW, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00027403","1968","31.96667","-110.96667","819.9","SAHUARITA 2 NW, AZ US","   1390.7","","    1390.7","0","        37","0","        22","0","         2","0","        0","","         0","0","         0","0","        32","0","         0","0","       302","0","       162","0","","","   -5.6","0,0201,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  38.1"," ,0,1114, ","   44.4","0,0619, ","0.0","0,1203","-2.8","0,1218","","","","","-0.6","0,0420","-5.6","0,0201","-5.6","0,0201","","","","","    1004.9","9","    1004.9","0","    262.6"," ,0","        0"," ,0","     19.65","0","     29.28","0","     10.01","0"
