"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00510840","1905","20.1","-155.46667","140.5","HAINA 214, HI US","   1237.9","","    1237.9","6","","","","","","","","","","","         0","6","         0","6","         0","6","       354","6","         0","6","   12.2","6,0107,+","","","","","","","   30.6","6,0722, ","","","","","","","","","     21.71","6","     25.81","6","     17.62","6","",""
"USC00510840","1907","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","       3.3","3","       3.3","6","","","","","","","","","","","",""
"USC00510840","1909","20.1","-155.46667","140.5","HAINA 214, HI US","   1392.7","","    1392.7","6","","","","","","","","","","","         0","6","         0","6","         0","6","       362","6","         0","6","   11.1","6,0330, ","","","","","","","   30.6","6,1111,+","       2.2","2","       2.2","6","","","","","     22.14","6","     26.61","6","     17.68","6","",""
"USC00510840","1910","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","","","","","","","","","","","         0","6","         0","6","","","","","","","   13.9","6,0217, ","","","","","","","","","","","","","","","","","","","","","     18.04","6","",""
"USC00510840","1912","20.1","-155.46667","140.5","HAINA 214, HI US","   1507.1","","    1507.1","6","       196","6","       109","6","        11","6","","","","","         0","6","         0","6","         0","6","       365","6","         0","6","   14.4","6,0126,+","","","","","  64.8"," ,6,0221, ","   29.4","6,0918,+","       0.0","0","       0.0","6","   1333.5"," ,6","","","     22.48","6","     26.06","6","     18.90","6","",""
"USC00510840","1913","20.1","-155.46667","140.5","HAINA 214, HI US","   1507.2","","    1507.2","6","","","","","","","","","","","         0","6","         0","6","         0","6","       365","6","         1","6","   10.6","6,0303,+","","","","","","","   32.8","6,0629, ","       0.0","0","       0.0","6","","","","","     22.47","6","     27.59","6","     17.35","6","",""
"USC00510840","1914","20.1","-155.46667","140.5","HAINA 214, HI US","   1233.1","","    1233.1","6","","","","","","","","","","","         0","6","         0","6","         0","6","       359","6","         0","6","   11.7","6,0319,+","","","","","","","   30.6","6,0925,+","       8.4","4","       8.4","6","","","","","     21.68","6","     26.18","6","     17.18","6","",""
"USC00510840","1915","20.1","-155.46667","140.5","HAINA 214, HI US","   1157.3","","    1157.3","6","       184","6","       113","6","        19","6","","","","","         0","6","         0","6","         0","6","       351","6","         0","6","   11.7","6,0213,+","","","","","  81.3"," ,6,0212, ","   31.7","6,0627,+","      31.1","1","      31.1","6","   1752.1"," ,6","","","     21.40","6","     25.87","6","     16.93","6","",""
"USC00510840","1916","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","","","","","","","","","","","         0","6","         0","6","         0","6","       358","6","         0","6","   12.8","6,1215,+","","","","","","","   30.0","6,1005,+","","","","","","","","","     21.32","6","     25.57","6","     17.07","6","",""
"USC00510840","1917","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","       2.5","5","       2.5","6","","","","","","","","","","","",""
"USC00510840","1919","20.1","-155.46667","140.5","HAINA 214, HI US","   1054.9","","    1054.9","6","       150","6","        72","6","         8","6","","","","","         0","6","         0","6","         0","6","       356","6","         0","6","   11.1","6,0325, ","","","","","  84.3"," ,6,0323, ","   30.0","6,0831, ","","","","","   1029.8"," ,6","","","     21.20","6","     26.08","6","     16.33","6","",""
