"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UY000001709","1964","-32.35","-54.183","100.0","MELO, UY","        46","I","        46","I","         9","I","","","","","","","  75.0"," ,I,0208, ","","","","","","","","","","","    815.0"," ,I","",""
"UY000001709","1976","-32.35","-54.183","100.0","MELO, UY","        32","I","        32","I","        13","I","","","","","","","  78.0"," ,I,1104, ","","","","","","","","","","","    742.0"," ,I","",""
"UY000001709","1992","-32.35","-54.183","100.0","MELO, UY","        83","I","        74","I","        15","I","","","","","","","  58.0"," ,I,0412, ","","","","","","","","","","","   1163.0"," ,I","",""
"UY000001709","1993","-32.35","-54.183","100.0","MELO, UY","        85","I","        70","I","        19","I","","","","","",""," 101.0"," ,I,1126, ","","","","","","","","","","","   1498.0"," ,I","",""
"UY000001709","1994","-32.35","-54.183","100.0","MELO, UY","        84","I","        61","I","        15","I","","","","","",""," 126.0"," ,I,0618, ","","","","","","","","","","","   1318.0"," ,I","",""
"UY000001709","1995","-32.35","-54.183","100.0","MELO, UY","        82","I","        67","I","        16","I","","","","","","","  90.0"," ,I,0703, ","","","","","","","","","","","   1182.0"," ,I","",""
"UY000001709","1996","-32.35","-54.183","100.0","MELO, UY","        76","I","        65","I","        12","I","","","","","","","  90.0"," ,I,0403, ","","","","","","","","","","","   1126.0"," ,I","",""
"UY000001709","1997","-32.35","-54.183","100.0","MELO, UY","        92","I","        74","I","        24","I","","","","","","","  87.0"," ,I,0519, ","","","","","","","","","","","   1641.0"," ,I","",""
"UY000001709","1998","-32.35","-54.183","100.0","MELO, UY","        94","I","        73","I","        21","I","","","","","",""," 144.0"," ,I,0418, ","","","","","","","","","","","   1779.0"," ,I","",""
"UY000001709","2003","-32.35","-54.183","100.0","MELO, UY","","","","","","","         0","S","         8","S","   -1.9","S,0826, ","","","-1.6","S,0608","","","","","-0.6","S,0914","","","","","     11.20","S"
"UY000001709","2004","-32.35","-54.183","100.0","MELO, UY","        82","S","        61","S","        11","S","         0","S","        12","S","   -2.2","S,0718,+","  50.0"," ,S,0913,+","-0.8","S,0519","-2.2","S,0614","","","-1.0","S,0810","","","    892.6"," ,S","     11.41","S"
"UY000001709","2007","-32.35","-54.183","100.0","MELO, UY","","","","","","","         0","S","        14","S","   -4.7","S,0729, ","","","0.0","S,0518","-4.0","S,0712","-4.7","S,0729","0.0","S,0926","","","","","     11.31","S"
"UY000001709","2008","-32.35","-54.183","100.0","MELO, UY","","","","","","","         0","S","        16","S","   -3.5","S,0618, ","","","-1.3","S,0415","-3.5","S,0618","","","-2.4","S,0809","-2.4","S,0809","","","     11.32","S"
"UY000001709","2009","-32.35","-54.183","100.0","MELO, UY","","","","","","","         0","S","        19","S","   -4.2","S,0731, ","","","-0.2","S,0528","-2.6","S,0625","","","","","","","","","     11.16","S"
"UY000001709","2011","-32.35","-54.183","100.0","MELO, UY","","","","","","","         0","S","        14","S","   -4.2","S,0707, ","","","-2.6","S,0605","-2.6","S,0605","","","-0.7","S,0821","","","","","     11.23","S"
"UY000001709","2012","-32.35","-54.183","100.0","MELO, UY","","","","","","","         0","S","        19","S","   -6.0","S,0715,+","","","0.0","S,0605","-6.0","S,0609","-6.0","S,0609","","","","","","","     11.87","S"
"UY000001709","2013","-32.35","-54.183","100.0","MELO, UY","","","","","","","         0","S","         9","S","   -3.6","S,0811, ","","","-0.9","S,0517","-3.2","S,0725","","","-0.8","S,0904","-3.6","S,0811","","","     11.14","S"
"UY000001709","2016","-32.35","-54.183","100.0","MELO, UY","        98","S","        72","S","        22","S","","","","","","","  93.2"," ,S,0418, ","","","","","","","","","","","   1524.1"," ,S","",""
"UY000001709","2019","-32.35","-54.183","100.0","MELO, UY","       108","S","        69","S","        18","S","","","","","","","  99.3"," ,S,1002, ","","","","","","","","","","","   1464.9"," ,S","",""
"UY000001709","2020","-32.35","-54.183","100.0","MELO, UY","        82","S","        45","S","        12","S","","","","","","","  71.6"," ,S,0218, ","","","","","","","","","","","    938.3"," ,S","",""
"UY000001709","2021","-32.35","-54.183","100.0","MELO, UY","        90","S","        54","S","        18","S","","","","","","","  76.7"," ,S,0127, ","","","","","","","","","","","   1277.8"," ,S","",""
