"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CSQS","1992","35.37","-117.5683","1103.4","SQUAW SPRINGS CALIFORNIA, CA US","   1252.7","","    1252.7","U","         0","U","         5","U","         0","U","       209","U","        79","U","   -1.7","U,1219, ","   39.4","U,0819,+","0.0","U,1216","","","","","","","","","","","","","","","","","","","     17.92","U","     22.97","U","     12.87","U"
"USR0000CSQS","1994","35.37","-117.5683","1103.4","SQUAW SPRINGS CALIFORNIA, CA US","   1332.9","","    1332.9","U","         0","U","         4","U","         0","U","       204","U","        95","U","   -2.2","U,1119, ","   41.1","U,0630,+","-1.7","U,1118","-2.2","U,1119","","","0.0","U,0212","","","","","","","","","    1227.6","6","    1227.6","U","     18.06","U","     23.45","U","     12.67","U"
"USR0000CSQS","1995","35.37","-117.5683","1103.4","SQUAW SPRINGS CALIFORNIA, CA US","   1338.6","","    1338.6","U","         0","U","         1","U","         0","U","       232","U","        92","U","   -0.6","U,1223, ","   41.1","U,0801,+","-0.6","U,1223","","","","","","","","","","","","","","","    1432.8","8","    1432.8","U","     18.99","U","     24.05","U","     13.92","U"
"USR0000CSQS","1996","35.37","-117.5683","1103.4","SQUAW SPRINGS CALIFORNIA, CA US","","","","","         0","U","         7","U","         0","U","       213","U","        97","U","   -9.4","U,0228,+","   41.1","U,0725, ","","","","","","","0.0","U,0304","-2.2","U,0301","-9.4","U,0228","-9.4","U,0228","-9.4","U,0228","","","","","     18.67","U","     23.96","U","     13.37","U"
"USR0000CSQS","1997","35.37","-117.5683","1103.4","SQUAW SPRINGS CALIFORNIA, CA US","   1194.5","","    1194.5","U","         0","U","         7","U","         0","U","       213","U","        83","U","   -2.8","U,0115, ","   40.6","U,0806, ","0.0","U,1224","","","","","-2.2","U,0116","-2.2","U,0116","","","","","","","    1264.6","6","    1264.6","U","     18.11","U","     23.39","U","     12.84","U"
"USR0000CSQS","1998","35.37","-117.5683","1103.4","SQUAW SPRINGS CALIFORNIA, CA US","    959.2","","     959.2","U","         0","U","        10","U","         0","U","       170","U","        73","U","   -5.0","U,1221, ","   42.2","U,0718, ","0.0","U,1206","-2.2","U,1220","-5.0","U,1221","0.0","U,0401","","","","","","","","","    1749.7","7","    1749.7","U","     16.23","U","     21.50","U","     10.96","U"
"USR0000CSQS","1999","35.37","-117.5683","1103.4","SQUAW SPRINGS CALIFORNIA, CA US","   1133.5","","    1133.5","U","         0","U","         9","U","         0","U","       207","U","        81","U","   -1.7","U,0409,+","   39.4","U,0701,+","","","","","","","-1.7","U,0409","","","","","","","","","    1483.7","7","    1483.7","U","     17.82","U","     23.31","U","     12.33","U"
"USR0000CSQS","2001","35.37","-117.5683","1103.4","SQUAW SPRINGS CALIFORNIA, CA US","   1508.4","","    1508.4","U","         0","U","        15","U","         0","U","       223","U","       112","U","   -1.7","U,0117,+","   41.1","U,0703,+","-0.6","U,1205","","","","","-1.1","U,0224","","","","","","","","","    1496.5","5","    1496.5","U","     18.43","U","     23.76","U","     13.09","U"
"USR0000CSQS","2002","35.37","-117.5683","1103.4","SQUAW SPRINGS CALIFORNIA, CA US","   1321.2","","    1321.2","U","         0","U","         9","U","         0","U","       212","U","        98","U","   -2.8","U,0130, ","   42.8","U,0709, ","0.0","U,1219","","","","","-1.7","U,0318","-2.8","U,0130","","","","","","","    1301.6","6","    1301.6","U","     18.30","U","     23.87","U","     12.72","U"
"USR0000CSQS","2003","35.37","-117.5683","1103.4","SQUAW SPRINGS CALIFORNIA, CA US","   1475.7","","    1475.7","U","         0","U","         3","U","         0","U","       191","U","       108","U","   -1.7","U,1228, ","   40.6","U,0711,+","-0.6","U,1227","","","","","","","","","","","","","","","    1357.3","3","    1357.3","U","     18.39","U","     23.62","U","     13.15","U"
